id,type,source,question,ideal_answer,generated_answer,retrieved_context,retrieval_method,latency_s,prompt_tokens,completion_tokens,tokens_used,embedding_model,llm_model,cost_per_query_usd,gpu_hourly_rate_usd,equivalent_api_cost_usd
Q011,deterministic,api_facts,What is the maximum trial period for a subscription?,90 days,The maximum trial period for a subscription is 90 days.,"[""{\""unit\"": \""days\"", \""limit\"": 90}""]",router_lookup,0.342,80,14,94,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,7.118e-05,0.7493,0.0001736
Q012,deterministic,api_facts,What HTTP status code does the API return when the rate limit is exceeded?,HTTP 429,429,"[""{\""code\"": \""rate_limit_exceeded\"", \""http_status\"": 429}""]",router_lookup,0.118,90,4,94,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,2.456e-05,0.7493,0.0001436
Q013,deterministic,api_facts,What error code is returned when an API key has been revoked?,revoked_api_key,"The error code returned when an API key has been revoked is ""revoked_api_key"".","[""{\""code\"": \""revoked_api_key\"", \""http_status\"": 401}""]",router_lookup,0.455,88,19,107,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,9.47e-05,0.7493,0.0002068
Q014,deterministic,api_facts,What error code is returned when a refund exceeds the 180-day window?,refund_window_expired,"The error code returned when a refund exceeds the 180-day window is ""refund_window_expired"".","[""{\""code\"": \""refund_window_expired\"", \""http_status\"": 422}""]",router_lookup,0.522,91,22,113,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00010865,0.7493,0.0002242
Q015,deterministic,api_facts,What is the current API version?,"v2, released on 2025-01-15",The current API version is v2.,"[""{\""version\"": \""v2\"", \""released\"": \""2025-01-15\""}""]",router_lookup,0.232,86,9,95,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,4.829e-05,0.7493,0.00016
Q016,deterministic,api_facts,When will API v1 be sunset?,2026-01-15,API v1 will be sunset on 2026-01-15.,"[""{\""sunset\"": \""2026-01-15\"", \""version\"": \""v1\"", \""deprecated\"": \""2025-07-01\""}""]",router_lookup,0.48,103,20,123,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,9.991e-05,0.7493,0.0002322
Q017,deterministic,api_facts,What is the maximum page size when listing payments?,100 items per page,The maximum page size when listing payments is 100.,"[""{\""max\"": 100, \""default\"": 10}""]",router_lookup,0.341,82,14,96,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,7.098e-05,0.7493,0.0001764
Q018,deterministic,api_facts,How many times does NexusPay retry a failed webhook delivery?,"Up to 5 times with exponential backoff: 1min, 5min, 30min, 2h, 8h",NexusPay retries a failed webhook delivery 5 times.,"[""{\""backoff\"": [\""1min\"", \""5min\"", \""30min\"", \""2h\"", \""8h\""], \""retries\"": 5}""]",router_lookup,0.323,101,13,114,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,6.723e-05,0.7493,0.0001986
Q019,deterministic,api_facts,What is the IP-level rate limit regardless of plan?,"5,000 requests per minute per IP address",The IP-level rate limit is 5000 requests per minute regardless of plan.,"[""{\""limit\"": 5000, \""scope\"": \""ip\"", \""window\"": \""minute\""}""]",router_lookup,0.455,89,19,108,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,9.47e-05,0.7493,0.0002082
Q020,deterministic,api_facts,How long do idempotency keys remain valid?,24 hours,Idempotency keys remain valid for 24 hours.,"[""{\""unit\"": \""hours\"", \""expiration\"": 24}""]",router_lookup,0.343,81,14,95,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,7.139e-05,0.7493,0.000175
Q021,deterministic,api_facts,What is the maximum description length for a payment?,255 characters,The maximum description length for a payment is 255 characters.,"[""{\""unit\"": \""characters\"", \""limit\"": 255}""]",router_lookup,0.365,81,15,96,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,7.597e-05,0.7493,0.0001794
Q022,deterministic,api_facts,How many concurrent connections does the Pro plan support?,50 concurrent connections,The Pro plan supports 50 concurrent connections.,"[""{\""plan\"": \""pro\"", \""limit\"": 50}""]",router_lookup,0.274,80,11,91,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,5.703e-05,0.7493,0.0001604
Q023,deterministic,api_facts,What HTTP status code is returned when a resource is not found?,HTTP 404,404,"[""{\""code\"": \""not_found\"", \""http_status\"": 404}""]",router_lookup,0.118,86,4,90,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,2.456e-05,0.7493,0.000138
Q024,deterministic,api_facts,What is the maximum URL length for a webhook endpoint?,2048 characters,"The provided context does not contain information about the maximum URL length for a webhook endpoint. Therefore, I cannot answer the question based on the given context.","[""{\""unit\"": \""characters\"", \""limit\"": 2048}""]",router_lookup,0.725,83,31,114,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.0001509,0.7493,0.0002526
Q025,deterministic,api_facts,What error code is returned when the capture window has expired?,capture_window_expired,The error code returned when the capture window has expired is `capture_window_expired`.,"[""{\""code\"": \""capture_window_expired\"", \""http_status\"": 422}""]",router_lookup,0.41,86,17,103,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,8.534e-05,0.7493,0.0001952
