id,type,source,question,ideal_answer,generated_answer,retrieved_context,retrieval_method,latency_s,prompt_tokens,completion_tokens,tokens_used,embedding_model,llm_model,cost_per_query_usd,gpu_hourly_rate_usd,equivalent_api_cost_usd
Q011,deterministic,api_facts,What is the maximum trial period for a subscription?,90 days,90 days.,"[""{\""unit\"": \""days\"", \""limit\"": 90}""]",router_lookup,0.149,66,5,71,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,3.101e-05,0.7493,0.0001144
Q012,deterministic,api_facts,What HTTP status code does the API return when the rate limit is exceeded?,HTTP 429,429,"[""{\""code\"": \""rate_limit_exceeded\"", \""http_status\"": 429}""]",router_lookup,0.129,79,4,83,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,2.685e-05,0.7493,0.0001282
Q013,deterministic,api_facts,What error code is returned when an API key has been revoked?,revoked_api_key,revoked_api_key,"[""{\""code\"": \""revoked_api_key\"", \""http_status\"": 401}""]",router_lookup,0.195,77,7,84,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,4.059e-05,0.7493,0.0001386
Q014,deterministic,api_facts,What error code is returned when a refund exceeds the 180-day window?,refund_window_expired,refund_window_expired,"[""{\""code\"": \""refund_window_expired\"", \""http_status\"": 422}""]",router_lookup,0.173,81,6,87,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,3.601e-05,0.7493,0.0001398
Q015,deterministic,api_facts,What is the current API version?,"v2, released on 2025-01-15",v2,"[""{\""version\"": \""v2\"", \""released\"": \""2025-01-15\""}""]",router_lookup,0.107,72,3,75,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,2.227e-05,0.7493,0.000114
Q016,deterministic,api_facts,When will API v1 be sunset?,2026-01-15,2026-01-15,"[""{\""sunset\"": \""2026-01-15\"", \""version\"": \""v1\"", \""deprecated\"": \""2025-07-01\""}""]",router_lookup,0.282,88,11,99,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,5.87e-05,0.7493,0.0001716
Q017,deterministic,api_facts,What is the maximum page size when listing payments?,100 items per page,100,"[""{\""max\"": 100, \""default\"": 10}""]",router_lookup,0.128,68,4,72,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,2.664e-05,0.7493,0.0001128
Q018,deterministic,api_facts,How many times does NexusPay retry a failed webhook delivery?,"Up to 5 times with exponential backoff: 1min, 5min, 30min, 2h, 8h",5,"[""{\""backoff\"": [\""1min\"", \""5min\"", \""30min\"", \""2h\"", \""8h\""], \""retries\"": 5}""]",router_lookup,0.071,87,2,89,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,1.478e-05,0.7493,0.0001306
Q019,deterministic,api_facts,What is the IP-level rate limit regardless of plan?,"5,000 requests per minute per IP address",5000 requests per minute.,"[""{\""limit\"": 5000, \""scope\"": \""ip\"", \""window\"": \""minute\""}""]",router_lookup,0.227,76,9,85,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,4.725e-05,0.7493,0.000146
Q020,deterministic,api_facts,How long do idempotency keys remain valid?,24 hours,Idempotency keys remain valid for 24 hours.,"[""{\""unit\"": \""hours\"", \""expiration\"": 24}""]",router_lookup,0.326,65,13,78,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,6.785e-05,0.7493,0.0001482
Q021,deterministic,api_facts,What is the maximum description length for a payment?,255 characters,255 characters.,"[""{\""unit\"": \""characters\"", \""limit\"": 255}""]",router_lookup,0.172,67,6,73,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,3.58e-05,0.7493,0.0001202
Q022,deterministic,api_facts,How many concurrent connections does the Pro plan support?,50 concurrent connections,50,"[""{\""plan\"": \""pro\"", \""limit\"": 50}""]",router_lookup,0.105,66,3,69,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,2.185e-05,0.7493,0.0001056
Q023,deterministic,api_facts,What HTTP status code is returned when a resource is not found?,HTTP 404,404,"[""{\""code\"": \""not_found\"", \""http_status\"": 404}""]",router_lookup,0.128,74,4,78,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,2.664e-05,0.7493,0.0001212
Q024,deterministic,api_facts,What is the maximum URL length for a webhook endpoint?,2048 characters,2048 characters.,"[""{\""unit\"": \""characters\"", \""limit\"": 2048}""]",router_lookup,0.193,69,7,76,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,4.017e-05,0.7493,0.0001274
Q025,deterministic,api_facts,What error code is returned when the capture window has expired?,capture_window_expired,capture_window_expired,"[""{\""code\"": \""capture_window_expired\"", \""http_status\"": 422}""]",router_lookup,0.174,75,6,81,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,3.622e-05,0.7493,0.0001314
