id,type,source,question,ideal_answer,generated_answer,retrieved_context,latency_s,prompt_tokens,completion_tokens,tokens_used,embedding_model,llm_model,cost_per_query_usd,gpu_hourly_rate_usd,equivalent_api_cost_usd
Q011,deterministic,reference/endpoints.md; guides/subscriptions_guide.md; reference/error_codes.md,What is the maximum trial period for a subscription?,90 days,The maximum trial period for a subscription is 90 days.,"[""The maximum trial period is **90 days**. After the trial ends, the subscription transitions to `active` and the first charge is attempted."", ""| Parameter    | Type   | Required | Description                                         |\n|--------------|--------|----------|-----------------------------------------------------|\n| customer_id  | string | Yes      | Customer to bill                                    |\n| plan_id      | string | Yes      | Subscription plan ID                                |\n| trial_days   | integer| No       | Free trial period. Max: 90 days                     |\n| billing_cycle| string | No       | `monthly` or `yearly`. Default: `monthly`           |"", ""| Code                          | Description                                        |\n|-------------------------------|----------------------------------------------------|\n| `plan_not_found`              | Subscription plan does not exist                   |\n| `trial_too_long`              | Trial period exceeds maximum of 90 days            |\n| `subscription_already_cancelled` | Subscription is already cancelled              |\n| `customer_has_no_payment_method` | Customer has no payment method on file         |"", ""Attach the customer to a plan to start a subscription. Optionally include a trial period."", ""{\n  \""customer_id\"": \""cus_01HXYZ3333333333\"",\n  \""plan_id\"": \""plan_01HXYZ2222222222\"",\n  \""trial_period_days\"": 14,\n  \""metadata\"": {\n    \""signup_source\"": \""web\""\n  }\n}\n```""]",0.53,464,14,478,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00010255,0.6966,0.0
Q012,deterministic,reference/error_codes.md; guides/error_handling_guide.md; reference/rate_limits.md,What HTTP status code does the API return when the rate limit is exceeded?,HTTP 429,"When the rate limit is exceeded, the API returns HTTP 429.","[""When the limit is exceeded, the API returns HTTP 429 with:"", ""When you exceed the API rate limit, NexusPay returns HTTP `429` with a `retry_after` field indicating how many seconds to wait before retrying:"", ""{\n  \""error\"": {\n    \""code\"": \""rate_limit_exceeded\"",\n    \""message\"": \""Rate limit exceeded. Retry after 4 seconds.\"",\n    \""retry_after\"": 4\n  }\n}\n```"", ""| Code                  | Description                                              |\n|-----------------------|----------------------------------------------------------|\n| `rate_limit_exceeded` | Too many requests. Check `retry_after` in response body  |\n| `ip_limit_exceeded`   | IP-level limit of 5,000 req/min exceeded                 |"", ""| HTTP Status | Error Code | Notes |\n|-------------|------------|-------|\n| 429 | `rate_limit_exceeded` | Respect the `retry_after` header |\n| 500 | `internal_server_error` | NexusPay server error — safe to retry |\n| 502 | `bad_gateway` | Upstream infrastructure error |\n| 503 | `service_unavailable` | Temporary unavailability — retry with backoff |\n| 504 | `gateway_timeout` | Request timed out upstream |""]",0.578,436,17,453,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00011184,0.6966,0.0
Q013,deterministic,reference/authentication.md; guides/going_live_checklist.md; reference/error_codes.md; reference/architecture_overview.md,What error code is returned when an API key has been revoked?,revoked_api_key,The error code returned when an API key has been revoked is `revoked_api_key`.,"[""| Code                  | Description                                              |\n|-----------------------|----------------------------------------------------------|\n| `invalid_api_key`     | The API key provided is not valid                        |\n| `expired_api_key`     | The API key has expired                                  |\n| `missing_api_key`     | No API key was provided in the request                   |\n| `revoked_api_key`     | The API key has been revoked                             |"", ""Revoking a key is immediate and irreversible. In-flight requests using a revoked key will fail with `revoked_api_key`."", ""If you submit an idempotency key that matches a previous request but with different parameters, the API returns HTTP 409 with error code `idempotency_key_mismatch`."", ""The API uses URL versioning. The current version is **v2**. Version v1 was deprecated on **2025-07-01** and will be sunset on **2026-01-15**. After the sunset date, v1 requests will return HTTP 410."", ""- [ ] **All error codes handled**: Your application handles every error code in `docs/reference/error_codes.md` gracefully — no unhandled exceptions that surface raw API errors to end users.\n- [ ] **Non-retryable errors not retried**: `card_declined`, `expired_card`, `do_not_honor`, and similar codes do not trigger automatic retries. The customer is prompted to resolve the issue instead.\n- [ ] **Retryable errors use backoff**: `service_unavailable`, `gateway_timeout`, and `internal_server_error` responses trigger retries with exponential backoff. See `docs/guides/error_handling_guide.md`.\n- [ ] **Rate limit errors handled**: HTTP 429 responses read the `retry_after` value and wait the specified duration before retrying.""]",0.732,539,21,560,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00014164,0.6966,0.0
Q014,deterministic,guides/refunds_guide.md; reference/error_codes.md; guides/going_live_checklist.md,What error code is returned when a refund exceeds the 180-day window?,refund_window_expired,The error code returned when a refund exceeds the 180-day window is `refund_window_expired`.,"[""```json\n{\n  \""error\"": {\n    \""code\"": \""refund_window_expired\"",\n    \""message\"": \""Refunds must be issued within 180 days of the original payment.\""\n  }\n}\n```"", ""Returned when the refund is attempted more than **180 days** after the original payment:"", ""| Code                        | Description                                          |\n|-----------------------------|------------------------------------------------------|\n| `refund_window_expired`     | 180-day refund window has passed                     |\n| `max_refunds_exceeded`      | Maximum 5 refunds per payment already reached        |\n| `refund_amount_exceeds_payment` | Refund amount exceeds original payment          |\n| `partial_refund_too_small`  | Partial refund below minimum of 50 cents             |\n| `payment_not_refundable`    | Payment is not in a refundable state                 |"", ""- [ ] **Refund constraints communicated to operations team**: Customer-facing support staff understand the 180-day refund window and 5-refund-per-payment limit.\n- [ ] **Authorization captures scheduled**: If using auth-only payments, a mechanism is in place to capture within the **7-day** window. Expired authorizations cannot be recovered."", ""| Constraint | Value |\n|------------|-------|\n| Maximum refund window | **180 days** from the original payment |\n| Maximum refunds per payment | **5** |\n| Minimum partial refund amount | **50 cents** (in the payment's currency) |""]",0.776,474,25,499,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00015016,0.6966,0.0
Q015,deterministic,reference/endpoints.md; guides/api_versioning.md; guides/going_live_checklist.md; reference/architecture_overview.md,What is the current API version?,"v2, released on 2025-01-15",The current API version is v2.,"[""The API uses URL versioning. The current version is **v2**. Version v1 was deprecated on **2025-07-01** and will be sunset on **2026-01-15**. After the sunset date, v1 requests will return HTTP 410."", ""**Base URL:** `https://api.nexuspay.io/v2`  \n**Current API version:** v2 (released 2025-01-15)  \n**Previous version:** v1 (deprecated 2025-07-01, sunset 2026-01-15)"", ""- [ ] **Target API v2**: Confirm all requests include the `NexusPay-Version: 2025-01-15` header or use the v2 base URL. The v1 API is deprecated as of 2025-07-01 and sunsets on 2026-01-15. Requests to v1 after sunset return HTTP `410 Gone`. See `docs/guides/api_versioning.md`."", ""{\n  \""error\"": {\n    \""code\"": \""api_version_sunset\"",\n    \""message\"": \""API v1 has been sunset as of 2026-01-15. Please migrate to v2. See https://docs.nexuspay.eu/guides/api_versioning\""\n  }\n}\n```"", ""| Version | Status | Release Date | Notes |\n|---------|--------|--------------|-------|\n| **v2** | Current | **2025-01-15** | Active, fully supported |\n| v1 | Deprecated | — | Deprecated **2025-07-01** |""]",0.398,515,9,524,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,7.701e-05,0.6966,0.0
Q016,deterministic,guides/going_live_checklist.md; guides/api_versioning.md; reference/architecture_overview.md,When will API v1 be sunset?,2026-01-15,API v1 will be sunset on 2026-01-15.,"[""The API uses URL versioning. The current version is **v2**. Version v1 was deprecated on **2025-07-01** and will be sunset on **2026-01-15**. After the sunset date, v1 requests will return HTTP 410."", ""{\n  \""error\"": {\n    \""code\"": \""api_version_sunset\"",\n    \""message\"": \""API v1 has been sunset as of 2026-01-15. Please migrate to v2. See https://docs.nexuspay.eu/guides/api_versioning\""\n  }\n}\n```"", ""- [ ] **Target API v2**: Confirm all requests include the `NexusPay-Version: 2025-01-15` header or use the v2 base URL. The v1 API is deprecated as of 2025-07-01 and sunsets on 2026-01-15. Requests to v1 after sunset return HTTP `410 Gone`. See `docs/guides/api_versioning.md`."", ""As of **2026-01-15**, v1 is sunset. Any request to a v1 endpoint returns:"", ""After the sunset date, there is no way to make v1 requests succeed — migration to v2 is mandatory.""]",0.604,423,20,443,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00011687,0.6966,0.0
Q017,deterministic,reference/endpoints.md; guides/metadata_guide.md; reference/pagination_filtering.md; guides/pagination_advanced.md,What is the maximum page size when listing payments?,100 items per page,"The maximum page size when listing payments is 100 [1, 2].","[""Pass `starting_after=pay_abc123` to get the next page. Default page size: 10. Maximum: 100."", ""### GET /payments\nList payments. Supports pagination via `limit` (max 100, default 10) and `starting_after`."", ""For bulk data exports, use the maximum page size to minimize the number of requests and stay within rate limits."", ""| Field | Purpose | Constraints | Visibility |\n|-------|---------|-------------|------------|\n| `metadata` | Machine-readable key-value pairs for internal use | 50 keys, 40-char keys | Not shown to customers |\n| `description` | Human-readable summary of the payment | Max **255 characters**, single string | May appear on bank statements |"", ""while True:\n        page = nexuspay.payments.list(\n            limit=100,\n            cursor=cursor,\n            **filters\n        )\n        all_payments.extend(page.data)""]",0.578,340,19,359,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00011184,0.6966,0.0
Q018,deterministic,guides/security_guide.md; guides/subscriptions_guide.md; guides/error_handling_guide.md; guides/webhooks_guide.md,How many times does NexusPay retry a failed webhook delivery?,"Up to 5 times with exponential backoff: 1min, 5min, 30min, 2h, 8h",NexusPay retries delivery up to 5 times.,"[""When a subscription renewal charge fails, NexusPay fires the `subscription.payment_failed` webhook:"", ""Your endpoint must return an HTTP `200` status code to acknowledge successful receipt. Any other status code (including `201`, `202`, `4xx`, or `5xx`) causes NexusPay to treat the delivery as failed and schedule a retry."", ""When an event occurs, NexusPay sends an HTTP POST request to the URL you have configured in the Dashboard or via the Webhooks API. Your endpoint must respond with an HTTP `200` status code within 10 seconds to acknowledge delivery. If it does not, NexusPay retries delivery up to **5 times** using an exponential backoff schedule: 1 minute, 5 minutes, 30 minutes, 2 hours, and 8 hours after the initial attempt."", ""When you exceed the API rate limit, NexusPay returns HTTP `429` with a `retry_after` field indicating how many seconds to wait before retrying:"", ""Your webhook endpoint receives signed HTTP POST requests from NexusPay. Without proper security:""]",0.416,360,12,372,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,8.05e-05,0.6966,0.0
Q019,deterministic,reference/error_codes.md; reference/rate_limits.md,What is the IP-level rate limit regardless of plan?,"5,000 requests per minute per IP address","Regardless of plan, a single IP address is limited to 5,000 requests/minute across all API keys.","[""Regardless of plan, a single IP address is limited to 5,000 requests/minute across all API keys. This limit cannot be increased."", ""| Code                  | Description                                              |\n|-----------------------|----------------------------------------------------------|\n| `rate_limit_exceeded` | Too many requests. Check `retry_after` in response body  |\n| `ip_limit_exceeded`   | IP-level limit of 5,000 req/min exceeded                 |"", ""| Plan       | Requests/min | Requests/day | Concurrent connections | Webhook endpoints |\n|------------|-------------|--------------|----------------------|-------------------|\n| Free       | 60          | 1,000        | 5                    | 2                 |\n| Starter    | 300         | 10,000       | 20                   | 10                |\n| Pro        | 1,000       | 100,000      | 50                   | 50                |\n| Enterprise | 10,000      | Unlimited    | 500                  | Unlimited         |"", ""NexusPay API enforces rate limits per API key, per plan. Limits reset every 60 seconds (rolling window)."", ""Each plan has a burst allowance of 2× the per-minute limit for up to 10 seconds. After the burst window, the standard limit applies.""]",0.795,435,26,461,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00015383,0.6966,0.0
Q020,deterministic,guides/going_live_checklist.md; guides/idempotency_guide.md; reference/architecture_overview.md,How long do idempotency keys remain valid?,24 hours,Idempotency keys expire 24 hours after they are first used.,"[""Idempotency keys expire **24 hours** after they are first used. After expiry, the same key can be submitted again and will be treated as a new request. This means you should generate a fresh key for each distinct operation intent — do not reuse keys across sessions or days."", ""- [ ] **Idempotency keys on all mutations**: Every `POST /payments`, `POST /payments/:id/capture`, and `POST /payments/:id/refunds` request includes a unique `Idempotency-Key` header (UUID v4, max 64 characters). See `docs/guides/idempotency_guide.md`.\n- [ ] **Keys generated before requests**: Idempotency keys are generated and persisted in your database *before* the API call is made, ensuring they survive process crashes.\n- [ ] **Same key on retries**: When retrying a failed request, your code reuses the original idempotency key — it does not generate a new one."", ""Idempotency keys are strings up to 64 characters. They are scoped to your API key — the same idempotency key used with different API keys creates different operations."", ""Idempotency keys and retry logic work together. Always:"", ""Idempotency keys are scoped to your **API key**. The same key used with your test (`sk_test_...`) and live (`sk_live_...`) secret keys are completely independent — switching to live keys does not risk replaying test-mode idempotency records.""]",0.569,442,16,458,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.0001101,0.6966,0.0
Q021,deterministic,reference/endpoints.md; guides/metadata_guide.md; guides/idempotency_guide.md,What is the maximum description length for a payment?,255 characters,The maximum description length for a payment is 255 characters.,"[""| Field | Purpose | Constraints | Visibility |\n|-------|---------|-------------|------------|\n| `metadata` | Machine-readable key-value pairs for internal use | 50 keys, 40-char keys | Not shown to customers |\n| `description` | Human-readable summary of the payment | Max **255 characters**, single string | May appear on bank statements |"", ""| Parameter     | Type    | Required | Description                                      |\n|---------------|---------|----------|--------------------------------------------------|\n| amount        | integer | Yes      | Amount in cents (e.g. 1000 = €10.00)            |\n| currency      | string  | Yes      | ISO 4217 code. Supported: EUR, USD, GBP, CHF, SEK, NOK, DKK |\n| source        | string  | Yes      | Payment method token or card ID                  |\n| description   | string  | No       | Max 255 characters                               |\n| metadata      | object  | No       | Max 50 key-value pairs, keys max 40 chars        |\n| capture       | boolean | No       | Default: true. Set false for auth-only           |\n| idempotency_key | string | No     | Max 64 characters. Ensures deduplication         |"", ""| Parameter | Type   | Required | Description         |\n|-----------|--------|----------|---------------------|\n| email     | string | Yes      | Must be unique      |\n| name      | string | No       | Max 200 characters  |\n| metadata  | object | No       | Max 50 key-value pairs |"", ""| Property | Value |\n|----------|-------|\n| Maximum length | **64 characters** |\n| Expiration | **24 hours** after first use |\n| Scope | Per API key (same key on a different API key is independent) |"", ""| Parameter | Type     | Required | Description                        |\n|-----------|----------|----------|------------------------------------|\n| url       | string   | Yes      | HTTPS only. Max 2048 characters    |\n| events    | string[] | Yes      | List of event types to subscribe   |\n| secret    | string   | No       | Auto-generated if not provided     |""]",0.585,624,15,639,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.0001132,0.6966,0.0
