id,type,source,question,ideal_answer,hypothetical_answer,generated_answer,retrieved_context,hyde_latency_s,answer_latency_s,total_latency_s,prompt_tokens,completion_tokens,tokens_used,embedding_model,llm_model,cost_per_query_usd,gpu_hourly_rate_usd,equivalent_api_cost_usd
Q036,semantic,guides/customers_guide.md; reference/endpoints.md; guides/subscriptions_guide.md,What is the difference between cancel_at_period_end and immediate cancellation for subscriptions?,"Setting cancel_at_period_end: true cancels at the next billing date, allowing the customer to use the service until then. Immediate cancellation stops billing right away.","Canceling at period end (`cancel_at_period_end`) pauses a subscription at the end of the current billing cycle without immediately cutting off access. Immediate cancellation, however, terminates the subscription and access rights right away, regardless of the billing cycle.","When you set `cancel_at_period_end: true`, the subscription remains in an `active` state and continues to be billed until the end of the current billing period. After this period ends, the subscription status transitions to `cancelled`. This means the customer will still be charged for the remainder of the current billing cycle but won't be renewed after that.

In contrast, an immediate cancellation would terminate the subscription right away, stopping any further billing immediately and changing the subscription status to `cancelled` without waiting for the end of the current billing period. However, based on the provided context, there's no explicit mention of how to perform an immediate cancellation directly. The context mainly describes the behavior when `cancel_at_period_end: true` is used.","[""### POST /subscriptions/:id/cancel\nCancel a subscription. `cancel_at_period_end: true` cancels at next billing date."", ""The subscription remains `active` until the end of the current billing period, then transitions to `cancelled`:"", ""### GET /customers/:id\n### PUT /customers/:id\n### DELETE /customers/:id\nDeleting a customer does not cancel active subscriptions — cancel subscriptions first."", ""**Critical warning:** Deleting a customer object does **not** automatically cancel their active subscriptions. If a customer with active subscriptions is deleted:"", ""| Status | Description |\n|--------|-------------|\n| `trialing` | Within the trial period — no charges yet |\n| `active` | Billing normally; payment succeeded |\n| `past_due` | Most recent payment failed; retries ongoing |\n| `cancelled` | Subscription has ended |\n| `unpaid` | All retry attempts exhausted; requires intervention |""]",1.13,3.483,4.613,379,199,578,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00096014,0.7493,0.0014062
Q037,semantic,reference/error_codes.md; guides/error_handling_guide.md,How should I handle a card_declined error?,card_declined means the issuer rejected the payment. The customer should try a different card or contact their bank. Do not retry the same card automatically as it may trigger fraud detection.,"When encountering a `card_declined` error, first verify the card details for accuracy and check with the card issuer for any issues or restrictions on the card. Next, ensure that your payment processing software is up-to-date and configured correctly to handle declined cards according to best practices.","When handling a `card_declined` error, you should not retry the transaction as this could trigger fraud flags at the issuer and lead to a worse customer experience. Instead, you should check the `decline_code` to understand the specific reason for the decline and then provide an appropriate message to the customer based on that code. For example, if the `decline_code` is `insufficient_funds`, you would inform the customer that their card has insufficient funds and suggest they try a different card. Always prompt the customer to either try a different card or contact their bank for further assistance.","[""**Do not retry `card_declined` errors.** Repeated decline attempts may trigger fraud flags at the issuer and worsen the customer's experience. Instead, prompt the customer to try a different card or contact their bank."", ""Not all `card_declined` errors are equivalent. Use `decline_code` to provide a specific message to the customer:"", ""| Code                        | Description                                          |\n|-----------------------------|------------------------------------------------------|\n| `card_declined`             | Card was declined by the issuer                      |\n| `insufficient_funds`        | Card has insufficient funds                          |\n| `card_expired`              | Card expiration date has passed                      |\n| `incorrect_cvc`             | CVC code is incorrect                                |\n| `do_not_honor`              | Generic decline — contact card issuer                |\n| `fraudulent`                | Payment blocked by fraud detection                   |\n| `capture_window_expired`    | 7-day capture window has passed                      |\n| `payment_not_capturable`    | Payment was not created with `capture: false`        |\n| `already_captured`          | Payment has already been captured                    |\n| `already_cancelled`         | Payment has already been cancelled                   |"", ""| `decline_code` | Customer-facing message |\n|----------------|------------------------|\n| `insufficient_funds` | \""Your card has insufficient funds. Please try a different card.\"" |\n| `expired_card` | \""Your card has expired. Please update your payment details.\"" |\n| `do_not_honor` | \""Your bank declined this transaction. Please contact your bank or use a different card.\"" |\n| `lost_card` | \""This transaction cannot be processed. Please contact your bank.\"" |\n| `stolen_card` | \""This transaction cannot be processed. Please contact your bank.\"" |"", ""```json\n{\n  \""error\"": {\n    \""code\"": \""card_declined\"",\n    \""message\"": \""The card was declined by the issuer.\"",\n    \""decline_code\"": \""insufficient_funds\"",\n    \""request_id\"": \""req_01HXYZ9999999999\""\n  }\n}\n```""]",1.313,2.964,4.277,627,178,805,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00089021,0.7493,0.001661
Q038,semantic,guides/payments_flow.md; reference/architecture_overview.md; guides/metadata_guide.md; guides/security_guide.md,What security practices does NexusPay recommend for API keys?,"Use environment variables or a secrets manager, never commit to version control, use least-privilege scopes, rotate every 90 days in high-security environments, monitor for unexpected usage spikes.","NexusPay recommends encrypting API keys both at rest and in transit, using a robust encryption protocol such as TLS 1.2 or higher. Additionally, they advise implementing strict access controls and regularly rotating API keys to minimize unauthorized access risks.","NexusPay recommends several security practices for API keys:

- Immediately rotate your API keys via the Dashboard after they have been created or if there is any suspicion of them being compromised.
- Review and rotate your webhook secret if there is any risk of it being exposed.
- In case of an incident involving API keys, contact NexusPay security at security@nexuspay.eu with your account ID and a description of the incident.
- Preserve all relevant logs and do not delete any potentially relevant data until the investigation is complete.

Additionally, NexusPay employs a two-key model to minimize the PCI scope for servers, enhancing security measures around API usage.","[""All API requests must be made over **HTTPS (TLS 1.2 or higher)**. NexusPay rejects plaintext HTTP connections at the infrastructure level. Ensure that:"", ""NexusPay uses API keys for authentication. There are two types:"", ""NexusPay uses a two-key model to keep your server out of PCI scope as much as possible:"", ""1. Immediately rotate your API keys via the Dashboard.\n2. Review your webhook secret and rotate it if there is any risk of exposure.\n3. Contact NexusPay security at security@nexuspay.eu with your account ID and a description of the incident.\n4. Preserve logs and do not delete any potentially relevant data until the investigation is complete."", ""- Do not store sensitive data in metadata: no card numbers, passwords, SSNs, or authentication tokens.\n- Metadata is visible to anyone with access to your NexusPay Dashboard and to any system that calls the API with your secret key. Apply the same access controls you would to any business data.\n- Metadata is not end-to-end encrypted beyond NexusPay's standard data-at-rest encryption. Do not rely on it for data classification purposes.""]",1.154,3.036,4.19,414,179,593,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.0008721,0.7493,0.0013672
Q039,semantic,guides/integration_quickstart.md; guides/refunds_guide.md; reference/endpoints.md; guides/webhooks_guide.md; guides/error_handling_guide.md,How does the webhook retry policy work?,"Failed deliveries are retried up to 5 times with exponential backoff: 1 minute, 5 minutes, 30 minutes, 2 hours, 8 hours.",The webhook retry policy initiates automatic retries with exponential backoff upon receiving a non-successful HTTP status code. Retries continue until a success status is achieved or the maximum retry limit configured in the system settings is reached.,"The webhook retry policy works as follows: When an event occurs, NexusPay sends an HTTP POST request to the configured URL. If your endpoint does not respond with an HTTP `200` status code within 10 seconds, NexusPay will retry the delivery up to 5 times. The retries follow an exponential backoff schedule, with delays of 1 minute, 5 minutes, 30 minutes, 2 hours, and 8 hours after the initial attempt.","[""**Retry policy:** Failed webhook deliveries are retried up to **5 times** with exponential backoff: 1min, 5min, 30min, 2h, 8h."", ""def retry_with_backoff(fn, max_retries=4):\n    for attempt in range(max_retries):\n        try:\n            return fn()\n        except RetryableError as e:\n            if attempt == max_retries - 1:\n                raise\n            wait = (2 ** attempt) + random.uniform(0, 1)\n            time.sleep(wait)\n```"", ""A `status` of `pending` is expected — the refund is queued for processing. It transitions to `succeeded` after settlement. Subscribe to the `refund.succeeded` webhook event to be notified when it completes (see `docs/guides/webhooks_guide.md`)."", ""When an event occurs, NexusPay sends an HTTP POST request to the URL you have configured in the Dashboard or via the Webhooks API. Your endpoint must respond with an HTTP `200` status code within 10 seconds to acknowledge delivery. If it does not, NexusPay retries delivery up to **5 times** using an exponential backoff schedule: 1 minute, 5 minutes, 30 minutes, 2 hours, and 8 hours after the initial attempt."", ""Subscribe to the `refund.succeeded` and `refund.failed` webhook events to track settlement asynchronously. Refer to `docs/guides/webhooks_guide.md`.""]",1.042,2.363,3.405,488,143,631,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00070871,0.7493,0.0013124
Q040,semantic,guides/customers_guide.md; reference/endpoints.md; guides/subscriptions_guide.md; guides/testing_guide.md,What webhook event is fired when a subscription billing fails?,subscription.payment_failed,"When a subscription billing fails, the `subscription.payment_failed` webhook event is triggered. This event notifies the system that a payment for an active subscription has not been successfully processed.","When a subscription billing fails, the `subscription.payment_failed` webhook event is fired.","[""- The subscriptions remain in the `active` or `trialing` state.\n- Renewal charges will fail because the customer record no longer exists.\n- This results in failed subscription payments and `subscription.payment_failed` webhook events."", ""This triggers the renewal charge immediately, firing the appropriate webhook events (`subscription.renewed` or `subscription.payment_failed`)."", ""When a subscription renewal charge fails, NexusPay fires the `subscription.payment_failed` webhook:"", ""| Event                        | Trigger                                 |\n|-----------------------------|-----------------------------------------|\n| payment.succeeded           | Payment completes successfully          |\n| payment.failed              | Payment fails                           |\n| payment.refunded            | Refund created                          |\n| subscription.created        | New subscription starts                 |\n| subscription.renewed        | Subscription renews                     |\n| subscription.cancelled      | Subscription cancelled                  |\n| subscription.payment_failed | Subscription billing fails              |\n| customer.created            | New customer created                    |\n| dispute.created             | Chargeback initiated                    |"", ""**Recommended action on `subscription.payment_failed`:**\n- Notify the customer by email with a link to update their payment method.\n- Check `attempt_count` to escalate urgency in follow-up messages.""]",0.837,0.531,1.368,422,54,476,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00028473,0.7493,0.0008284
Q041,semantic,guides/integration_quickstart.md; guides/webhooks_guide.md; guides/testing_guide.md; guides/metadata_guide.md,Where is NexusPay data stored by default?,"EU region, specifically Frankfurt, Germany. US data residency is available on Enterprise plans but cannot be changed after account creation.","By default, NexusPay stores its data in an encrypted format within the /var/nexuspay directory on the local file system of the server where the NexusPay service is installed. For enhanced security and redundancy, it is recommended to configure a centralized database or cloud storage solution as per the official NexusPay deployment guidelines.","The provided context does not specify where NexusPay data is stored by default. The information given focuses on guidelines for using NexusPay services, including security practices for metadata and integration steps, but it does not detail the default storage locations of NexusPay data.","[""For local development, use a tunnelling tool such as `ngrok` or `cloudflared` to expose your localhost server to NexusPay's sandbox:"", ""Store your internal user or customer ID on NexusPay customer and payment objects. This is especially useful when a customer uses multiple email addresses or payment methods across their lifetime."", ""- Do not store sensitive data in metadata: no card numbers, passwords, SSNs, or authentication tokens.\n- Metadata is visible to anyone with access to your NexusPay Dashboard and to any system that calls the API with your secret key. Apply the same access controls you would to any business data.\n- Metadata is not end-to-end encrypted beyond NexusPay's standard data-at-rest encryption. Do not rely on it for data classification purposes."", ""- A NexusPay account (sign up at nexuspay.eu)\n- Your **test secret key** (`sk_test_...`) from the Dashboard under **Developers → API Keys**"", ""NexusPay signs every webhook request using **HMAC-SHA256** with your webhook secret. Always verify the signature before processing the payload. Failing to do so exposes your endpoint to spoofed events.""]",1.468,1.276,2.744,420,115,535,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00057113,0.7493,0.001094
Q042,semantic,reference/endpoints.md; guides/subscriptions_guide.md,How does proration work when upgrading a subscription?,"When calling POST /subscriptions/:id/upgrade, proration is calculated automatically by NexusPay.","Proration for an upgrade typically calculates the pro-rated cost of the new plan from the upgrade date to the end of the current billing cycle. The customer is then charged the difference between their old and new plan costs, adjusted for the remaining time in the billing period.","When upgrading a subscription, proration is calculated automatically by NexusPay. Depending on the `proration_behavior` setting chosen, the prorated difference can either be immediately charged or credited to the customer (`create_prorations`), or the plan change can wait until the next billing period with no immediate charge (`none`).","[""### POST /subscriptions/:id/upgrade\nUpgrade or downgrade a subscription plan. Proration is calculated automatically."", ""| `proration_behavior` | Effect |\n|----------------------|--------|\n| `create_prorations` | Immediately charges or credits the prorated difference |\n| `none` | Plan changes at next billing period with no immediate charge |"", ""To change a subscription's plan, update the `plan_id`. NexusPay calculates proration automatically."", ""Plans define the recurring charge amount and interval. Create plans once and reuse them across many subscriptions."", ""Use `\""interval\"": \""year\""` and `\""interval_count\"": 1`. The customer is charged once per year.""]",1.243,1.569,2.812,319,120,439,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00058529,0.7493,0.0009746
Q043,semantic,reference/authentication.md; reference/architecture_overview.md; guides/metadata_guide.md; guides/webhooks_guide.md,What authentication methods are supported for the NexusPay dashboard?,"Two-factor authentication is required for key management. Supported methods: TOTP (Google Authenticator, Authy) or hardware security keys (FIDO2/WebAuthn).","The NexusPay dashboard supports several authentication methods including username/password combination, two-factor authentication (2FA) via email or SMS, and OAuth integration for single sign-on (SSO) solutions.","The NexusPay dashboard supports two-factor authentication (2FA) which can be configured via TOTP using apps like Google Authenticator or Authy, or through hardware security keys that comply with FIDO2/WebAuthn standards.","[""NexusPay uses API keys for authentication. There are two types:"", ""API key management in the dashboard requires two-factor authentication (2FA). 2FA can be configured via TOTP (Google Authenticator, Authy) or hardware security keys (FIDO2/WebAuthn)."", ""NexusPay authenticates requests using API keys passed in the HTTP `Authorization` header."", ""NexusPay signs every webhook request using **HMAC-SHA256** with your webhook secret. Always verify the signature before processing the payload. Failing to do so exposes your endpoint to spoofed events."", ""Store your internal user or customer ID on NexusPay customer and payment objects. This is especially useful when a customer uses multiple email addresses or payment methods across their lifetime.""]",0.906,1.121,2.027,338,85,423,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.0004219,0.7493,0.0008472
Q044,semantic,guides/integration_quickstart.md; guides/multi_currency_guide.md; guides/api_versioning.md,How is amount represented in the API?,"Always in cents as an integer. For example, 1000 = €10.00. This avoids floating point precision issues.","In the API, the amount is typically represented as a numeric type, specifically a float or a decimal, depending on the precision required for financial transactions. This allows for accurate representation of monetary values with appropriate decimal places.","In the API, the amount is represented in the smallest currency unit, which means values are expressed in cents, pennies, or the equivalent smallest unit for the respective currency. For example, €10.00 would be represented as `1000`. This applies consistently across different currencies as per the guidelines provided.","[""All `amount` values in the API must be expressed in the **smallest currency unit** (cents, pennies, etc.):"", ""**v1** accepted amounts in either decimal (`49.99`) or integer (`4999`) format, depending on the endpoint."", ""Amounts are always expressed in the **smallest currency unit**. For EUR, that is cents: €10.00 = `1000`."", ""| Amount you want to charge | Correct API value |\n|---------------------------|-------------------|\n| €10.00 | `1000` |\n| $49.99 | `4999` |\n| CHF 25.50 | `2550` |\n| SEK 150.00 | `15000` |"", ""**Migration steps:**\n1. Audit all payment creation, refund, and plan creation calls.\n2. Convert any decimal amounts to integers (multiply by 100 for two-decimal currencies).\n3. Update your display layer to divide API amounts by 100 before showing to users.""]",1.018,1.648,2.666,423,111,534,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.0005549,0.7493,0.0010806
Q045,semantic,guides/webhooks_guide.md; guides/error_handling_guide.md; reference/rate_limits.md; guides/going_live_checklist.md,What does the X-RateLimit-Reset header contain?,A Unix timestamp indicating when the current rate limit window resets.,"The X-RateLimit-Reset header contains the timestamp at which the current rate limit window resets, typically in Unix time format. This allows API clients to know when they can resume making requests after hitting the rate limit.",The `X-RateLimit-Reset` header contains a Unix timestamp that indicates when the current rate limit window will reset.,"[""`X-RateLimit-Reset` is a Unix timestamp indicating when the current window resets."", ""- [ ] **Rate limit headers monitored**: Your application reads the `X-RateLimit-Remaining` and `X-RateLimit-Reset` response headers and alerts when approaching limits.\n- [ ] **Bulk operations throttled**: Batch jobs and nightly reconciliation scripts are rate-limited to stay within the thresholds defined in `docs/reference/rate_limits.md`."", ""NexusPay API enforces rate limits per API key, per plan. Limits reset every 60 seconds (rolling window)."", ""| Header | Description |\n|--------|-------------|\n| `X-NexusPay-Signature` | HMAC-SHA256 hex digest of the raw request body |\n| `X-NexusPay-Timestamp` | Unix timestamp (seconds) of when the event was sent |"", ""| HTTP Status | Error Code | Notes |\n|-------------|------------|-------|\n| 429 | `rate_limit_exceeded` | Respect the `retry_after` header |\n| 500 | `internal_server_error` | NexusPay server error — safe to retry |\n| 502 | `bad_gateway` | Upstream infrastructure error |\n| 503 | `service_unavailable` | Temporary unavailability — retry with backoff |\n| 504 | `gateway_timeout` | Request timed out upstream |""]",1.041,0.745,1.786,478,71,549,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00037174,0.7493,0.0009816
Q046,semantic,reference/authentication.md; reference/architecture_overview.md; guides/security_guide.md,Can plain HTTP connections be used with the NexusPay API?,"No. Plain HTTP is rejected with a connection error, not an HTTP response. All requests must use HTTPS.","No, plain HTTP connections are not supported for the NexusPay API. Secure communication is mandatory, thus HTTPS must be used to ensure data integrity and confidentiality.","No, plain HTTP connections cannot be used with the NexusPay API. All API requests must be made over HTTPS (TLS 1.2 or higher), and plain HTTP connections are rejected at the infrastructure level with a connection error.","[""All API requests must be made over **HTTPS (TLS 1.2 or higher)**. NexusPay rejects plaintext HTTP connections at the infrastructure level. Ensure that:"", ""NexusPay uses API keys for authentication. There are two types:"", ""Your webhook endpoint receives signed HTTP POST requests from NexusPay. Without proper security:"", ""NexusPay authenticates requests using API keys passed in the HTTP `Authorization` header."", ""All API requests must use HTTPS. Plain HTTP connections are rejected with a connection error, not an HTTP response.""]",0.748,1.099,1.847,292,79,371,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00038443,0.7493,0.0007564
Q047,semantic,reference/architecture_overview.md; reference/endpoints.md; guides/auth_capture_flow.md,What happens to an authorized payment if I do not capture it within 7 days?,The authorization expires automatically and the held funds are released. You cannot capture it after expiry — the error code returned is capture_window_expired.,"If an authorized payment is not captured within 7 days, it will automatically expire and the funds will be released back to the payer's account. No further action is required on your part once the authorization period lapses.","If you do not capture an authorized payment within 7 days, the authorization will expire automatically. When this happens, the hold on the customer's card is released, and the funds are returned to the customer. You will not be able to capture an expired authorization.","[""**Separation of authorization and capture.** By default, `POST /payments` both authorizes and captures in a single step. For marketplaces and delayed fulfillment, set `capture: false` to authorize only. The authorization holds funds on the customer's card for up to 7 days. After that, the authorization expires automatically."", ""The `capture_before` timestamp indicates the deadline by which you must capture. Authorizations expire after **7 days**. After expiry, the hold is automatically released and the funds return to the customer — you cannot capture an expired authorization."", ""### POST /payments/:id/capture\nCapture an authorized payment. Only valid if `capture: false` was set on creation. Must be called within **7 days** of authorization."", ""```\nDay 0     Day 1     Day 3     Day 7 (deadline)\n  |---------|---------|---------|\n  ^                   ^         ^\n  Authorize        Capture    Expires\n  (status:        (status:   (auto-released)\n  authorized)    succeeded)\n```"", ""If the customer cancels the reservation or you no longer need the hold, cancel the authorization to release the funds immediately rather than waiting for the 7-day expiry:""]",1.041,1.355,2.396,451,99,550,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.0004987,0.7493,0.001067
Q048,semantic,reference/pagination_filtering.md; reference/endpoints.md; guides/subscriptions_guide.md,What filters can I use when listing subscriptions?,"customer_id, status (active, cancelled, past_due, trialing), and plan_id.","When listing subscriptions, you can apply filters such as subscription status (active, expired), type of service, and creation date. Additional filters may include user ID or subscription plan name, depending on the system's capabilities.","When listing subscriptions, you can use the following filters:

- `customer_id`: to filter subscriptions for a specific customer.
- `status`: to filter by subscription status such as `active`, `cancelled`, `past_due`, or `trialing`.
- `plan_id`: to filter subscriptions that are on a specific plan.","[""| Filter        | Type   | Description                              |\n|---------------|--------|------------------------------------------|\n| `customer_id` | string | Subscriptions for a specific customer    |\n| `status`      | string | `active`, `cancelled`, `past_due`, `trialing` |\n| `plan_id`     | string | Subscriptions on a specific plan         |"", ""| Filter       | Type   | Description                    |\n|--------------|--------|--------------------------------|\n| `payment_id` | string | Refunds for a specific payment |\n| `from`       | date   | Created on or after this date  |\n| `to`         | date   | Created on or before this date |"", ""| Parameter    | Type   | Required | Description                                         |\n|--------------|--------|----------|-----------------------------------------------------|\n| customer_id  | string | Yes      | Customer to bill                                    |\n| plan_id      | string | Yes      | Subscription plan ID                                |\n| trial_days   | integer| No       | Free trial period. Max: 90 days                     |\n| billing_cycle| string | No       | `monthly` or `yearly`. Default: `monthly`           |"", ""| Status | Description |\n|--------|-------------|\n| `trialing` | Within the trial period — no charges yet |\n| `active` | Billing normally; payment succeeded |\n| `past_due` | Most recent payment failed; retries ongoing |\n| `cancelled` | Subscription has ended |\n| `unpaid` | All retry attempts exhausted; requires intervention |"", ""| Event | Triggered when |\n|-------|---------------|\n| `subscription.created` | New subscription created |\n| `subscription.trial_ending` | 3 days before trial ends |\n| `subscription.renewed` | Successful renewal charge |\n| `subscription.payment_failed` | Renewal charge failed |\n| `subscription.unpaid` | All retry attempts exhausted |\n| `subscription.cancelled` | Subscription cancelled |""]",1.019,1.694,2.713,580,110,690,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00056468,0.7493,0.001296
Q049,semantic,reference/pagination_filtering.md; guides/reporting_guide.md,What is the maximum date range for a report summary query?,"365 days. For longer ranges, use the Reports API.","The maximum date range for a report summary query typically spans one fiscal year, allowing comprehensive analysis of annual performance. However, specific limitations may apply based on system configurations and data availability.",The maximum date range for a report summary query is **365 days**.,"[""The maximum date range for a single report request is **365 days**. Requests spanning more than 365 days return a `400 invalid_request` error. For multi-year data, make multiple requests with non-overlapping date ranges and aggregate the results in your application."", ""The maximum date range for list queries is **365 days**. Requests spanning more than 365 days will return a validation error. For longer ranges, use the Reports API."", ""Report generation is resource-intensive. Long date ranges at daily granularity may take several seconds to process. If you are generating reports programmatically, space out requests and respect the rate limits defined in `docs/reference/rate_limits.md`. Consider scheduling report generation during off-peak hours."", ""The NexusPay Reports API provides aggregated financial summaries suitable for accounting, reconciliation, and business analytics. This guide covers the summary endpoint parameters, granularity options, date range limits, and how to combine reporting data with detailed transaction lists."", ""```\nGET /reports/summary?start_date=2025-01-01&end_date=2025-12-31&granularity=month\n```""]",0.861,0.546,1.407,433,55,488,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00029285,0.7493,0.0008482
Q050,semantic,reference/error_codes.md; guides/error_handling_guide.md; guides/going_live_checklist.md,What does the do_not_honor error mean and what should the customer do?,do_not_honor is a generic decline from the card issuer. The customer should contact their bank directly — NexusPay cannot provide more specific information.,"The ""do_not_honor"" error indicates that a request or transaction should not be processed due to policy violations or security concerns. Customers should review the associated guidelines and contact support for specific resolution steps.",The `do_not_honor` error means that your bank has declined the transaction. You should contact your bank or use a different card to proceed.,"[""| `decline_code` | Customer-facing message |\n|----------------|------------------------|\n| `insufficient_funds` | \""Your card has insufficient funds. Please try a different card.\"" |\n| `expired_card` | \""Your card has expired. Please update your payment details.\"" |\n| `do_not_honor` | \""Your bank declined this transaction. Please contact your bank or use a different card.\"" |\n| `lost_card` | \""This transaction cannot be processed. Please contact your bank.\"" |\n| `stolen_card` | \""This transaction cannot be processed. Please contact your bank.\"" |"", ""These errors indicate a deterministic failure — retrying the same request will produce the same result and may cause harm (e.g., charging the customer twice or confusing them with repeated declines)."", ""| Code                  | Description                                              |\n|-----------------------|----------------------------------------------------------|\n| `internal_error`      | Unexpected server error. Contact support if persistent   |\n| `service_unavailable` | API temporarily unavailable. Retry with backoff          |"", ""**Do not retry `card_declined` errors.** Repeated decline attempts may trigger fraud flags at the issuer and worsen the customer's experience. Instead, prompt the customer to try a different card or contact their bank."", ""- [ ] **All error codes handled**: Your application handles every error code in `docs/reference/error_codes.md` gracefully — no unhandled exceptions that surface raw API errors to end users.\n- [ ] **Non-retryable errors not retried**: `card_declined`, `expired_card`, `do_not_honor`, and similar codes do not trigger automatic retries. The customer is prompted to resolve the issue instead.\n- [ ] **Retryable errors use backoff**: `service_unavailable`, `gateway_timeout`, and `internal_server_error` responses trigger retries with exponential backoff. See `docs/guides/error_handling_guide.md`.\n- [ ] **Rate limit errors handled**: HTTP 429 responses read the `retry_after` value and wait the specified duration before retrying.""]",0.951,0.912,1.863,614,72,686,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00038776,0.7493,0.0011764
