id,type,source,question,ideal_answer,hypothetical_answer,generated_answer,retrieved_context,hyde_latency_s,answer_latency_s,total_latency_s,prompt_tokens,completion_tokens,tokens_used,embedding_model,llm_model,cost_per_query_usd,gpu_hourly_rate_usd,equivalent_api_cost_usd
Q036,semantic,reference/endpoints.md; reference/pagination_filtering.md; guides/customers_guide.md; guides/subscriptions_guide.md,What is the difference between cancel_at_period_end and immediate cancellation for subscriptions?,"Setting cancel_at_period_end: true cancels at the next billing date, allowing the customer to use the service until then. Immediate cancellation stops billing right away.","`cancel_at_period_end` schedules the subscription to expire at the end of the current billing cycle, allowing the user to retain access until that date. In contrast, immediate cancellation terminates access and the subscription status instantly.","Based on the provided context, setting `cancel_at_period_end: true` cancels the subscription at the next billing date [1]. In this case, the subscription remains `active` until the end of the current billing period, at which point it transitions to `cancelled` [2]. The provided text does not explicitly describe the process or result of an ""immediate cancellation.""","[""### POST /subscriptions/:id/cancel\nCancel a subscription. `cancel_at_period_end: true` cancels at next billing date."", ""The subscription remains `active` until the end of the current billing period, then transitions to `cancelled`:"", ""### GET /customers/:id\n### PUT /customers/:id\n### DELETE /customers/:id\nDeleting a customer does not cancel active subscriptions — cancel subscriptions first."", ""**Critical warning:** Deleting a customer object does **not** automatically cancel their active subscriptions. If a customer with active subscriptions is deleted:"", ""| Filter        | Type   | Description                              |\n|---------------|--------|------------------------------------------|\n| `customer_id` | string | Subscriptions for a specific customer    |\n| `status`      | string | `active`, `cancelled`, `past_due`, `trialing` |\n| `plan_id`     | string | Subscriptions on a specific plan         |""]",1.178,2.033,3.211,386,125,511,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00066833,0.7493,0.0010904
Q037,semantic,guides/error_handling_guide.md; guides/integration_quickstart.md; guides/subscriptions_guide.md,How should I handle a card_declined error?,card_declined means the issuer rejected the payment. The customer should try a different card or contact their bank. Do not retry the same card automatically as it may trigger fraud detection.,"When a `card_declined` error occurs, prompt the user to verify their payment details or use a different payment method. Ensure the UI provides a clear, non-technical explanation of the failure without exposing sensitive gateway logs.","To handle a `card_declined` error, follow these steps:

*   **Do not retry the error**, as repeated attempts may trigger fraud flags at the issuer and negatively impact the customer's experience.
*   **Prompt the customer** to either contact their bank or try a different card.
*   **Provide a specific message** based on the `decline_code`:
    *   `insufficient_funds`: ""Your card has insufficient funds. Please try a different card.""
    *   `expired_card`: ""Your card has expired. Please update your payment details.""
    *   `do_not_honor`: ""Your bank declined this transaction. Please contact your bank or use a different card.""
    *   `lost_card` or `stolen_card`: ""This transaction cannot be processed. Please contact your bank.""","[""**Do not retry `card_declined` errors.** Repeated decline attempts may trigger fraud flags at the issuer and worsen the customer's experience. Instead, prompt the customer to try a different card or contact their bank."", ""Not all `card_declined` errors are equivalent. Use `decline_code` to provide a specific message to the customer:"", ""| `decline_code` | Customer-facing message |\n|----------------|------------------------|\n| `insufficient_funds` | \""Your card has insufficient funds. Please try a different card.\"" |\n| `expired_card` | \""Your card has expired. Please update your payment details.\"" |\n| `do_not_honor` | \""Your bank declined this transaction. Please contact your bank or use a different card.\"" |\n| `lost_card` | \""This transaction cannot be processed. Please contact your bank.\"" |\n| `stolen_card` | \""This transaction cannot be processed. Please contact your bank.\"" |"", ""If the payment fails, the response includes an `error` object with a `code` field. See `docs/guides/error_handling_guide.md` for how to handle specific error codes."", ""**Recommended action on `subscription.payment_failed`:**\n- Notify the customer by email with a link to update their payment method.\n- Check `attempt_count` to escalate urgency in follow-up messages.""]",1.165,4.66,5.825,483,229,712,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00121241,0.7493,0.0016838
Q038,semantic,reference/authentication.md; guides/metadata_guide.md; guides/payments_flow.md; guides/security_guide.md,What security practices does NexusPay recommend for API keys?,"Use environment variables or a secrets manager, never commit to version control, use least-privilege scopes, rotate every 90 days in high-security environments, monitor for unexpected usage spikes.","NexusPay recommends storing API keys in secure environment variables or a dedicated secret management service rather than hardcoding them in source code. Additionally, users should implement strict IP whitelisting and rotate keys every 90 days to minimize the risk of unauthorized access.","NexusPay recommends the following security practices for API keys:

*   **Storage and Handling:**
    *   Store secret keys in environment variables or a secrets manager (such as AWS Secrets Manager or HashiCorp Vault).
    *   Never hardcode secret keys in source code or include them in frontend JavaScript bundles.
    *   Never commit API keys to version control, including private repositories.
    *   Never log secret keys or include them in error messages.
*   **Management and Usage:**
    *   Follow the principle of least privilege by scoping keys to the minimum required operations.
    *   Use distinct keys for different environments (production, staging, and development).
    *   In high-security environments, rotate keys every 90 days.
    *   Monitor usage via the dashboard, as unexpected spikes may indicate a compromised key.
*   **Incident Response:**
    *   If a compromise occurs, immediately rotate API keys via the Dashboard.","[""- Never commit API keys to version control. Use environment variables or a secrets manager.\n- Use the principle of least privilege — scope keys to the minimum required operations.\n- Rotate keys every 90 days in high-security environments.\n- Monitor API key usage in the dashboard — unexpected spikes may indicate a compromised key.\n- Use different keys for different environments (development, staging, production)."", ""1. Immediately rotate your API keys via the Dashboard.\n2. Review your webhook secret and rotate it if there is any risk of exposure.\n3. Contact NexusPay security at security@nexuspay.eu with your account ID and a description of the incident.\n4. Preserve logs and do not delete any potentially relevant data until the investigation is complete."", ""- Do not store sensitive data in metadata: no card numbers, passwords, SSNs, or authentication tokens.\n- Metadata is visible to anyone with access to your NexusPay Dashboard and to any system that calls the API with your secret key. Apply the same access controls you would to any business data.\n- Metadata is not end-to-end encrypted beyond NexusPay's standard data-at-rest encryption. Do not rely on it for data classification purposes."", ""- Store the secret key in environment variables or a secrets manager (e.g., HashiCorp Vault, AWS Secrets Manager). Never hardcode it in source code.\n- Never commit secret keys to version control, even in private repositories.\n- Never log the secret key or include it in error messages.\n- Do not include the secret key in frontend JavaScript bundles."", ""NexusPay uses a two-key model to keep your server out of PCI scope as much as possible:""]",1.298,5.198,6.496,526,255,781,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00135207,0.7493,0.0018584
Q039,semantic,reference/endpoints.md; guides/error_handling_guide.md; guides/testing_guide.md; guides/webhooks_guide.md,How does the webhook retry policy work?,"Failed deliveries are retried up to 5 times with exponential backoff: 1 minute, 5 minutes, 30 minutes, 2 hours, 8 hours.","The webhook retry policy employs an exponential backoff strategy, attempting redelivery at increasing intervals when a non-2xx response is received. If the maximum number of retry attempts is reached without success, the event is marked as failed and moved to a dead-letter queue for manual review.","The webhook retry policy works as follows: if an endpoint does not respond with an HTTP `200` status code within 10 seconds, NexusPay retries the delivery up to 5 times. These retries use an exponential backoff schedule of 1 minute, 5 minutes, 30 minutes, 2 hours, and 8 hours.","[""**Retry policy:** Failed webhook deliveries are retried up to **5 times** with exponential backoff: 1min, 5min, 30min, 2h, 8h."", ""def retry_with_backoff(fn, max_retries=4):\n    for attempt in range(max_retries):\n        try:\n            return fn()\n        except RetryableError as e:\n            if attempt == max_retries - 1:\n                raise\n            wait = (2 ** attempt) + random.uniform(0, 1)\n            time.sleep(wait)\n```"", ""- [ ] Successful payment creates and stores a payment ID correctly\n- [ ] Declined payment surfaces an appropriate error message to the user\n- [ ] Retry with the same idempotency key returns the original result (not a new payment)\n- [ ] Refund creates correctly and fires `refund.succeeded` webhook\n- [ ] Webhook signature verification rejects tampered payloads\n- [ ] Webhook timestamp check rejects events older than 5 minutes\n- [ ] Duplicate webhook delivery is handled idempotently"", ""Always use an **idempotency key** on requests you intend to retry. This ensures that even if the original request succeeded and the response was lost in transit, retrying returns the original result rather than creating a duplicate. See `docs/guides/idempotency_guide.md`."", ""When an event occurs, NexusPay sends an HTTP POST request to the URL you have configured in the Dashboard or via the Webhooks API. Your endpoint must respond with an HTTP `200` status code within 10 seconds to acknowledge delivery. If it does not, NexusPay retries delivery up to **5 times** using an exponential backoff schedule: 1 minute, 5 minutes, 30 minutes, 2 hours, and 8 hours after the initial attempt.""]",1.442,2.039,3.481,572,133,705,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00072453,0.7493,0.001386
Q040,semantic,guides/testing_guide.md; guides/customers_guide.md; guides/subscriptions_guide.md; reference/endpoints.md,What webhook event is fired when a subscription billing fails?,subscription.payment_failed,The `invoice.payment_failed` event is triggered when a subscription billing attempt fails. You can listen for this webhook to automate customer notifications or trigger a dunning sequence.,The `subscription.payment_failed` webhook event is fired when subscription billing fails.,"[""This triggers the renewal charge immediately, firing the appropriate webhook events (`subscription.renewed` or `subscription.payment_failed`)."", ""**Recommended action on `subscription.payment_failed`:**\n- Notify the customer by email with a link to update their payment method.\n- Check `attempt_count` to escalate urgency in follow-up messages."", ""- The subscriptions remain in the `active` or `trialing` state.\n- Renewal charges will fail because the customer record no longer exists.\n- This results in failed subscription payments and `subscription.payment_failed` webhook events."", ""| Event                        | Trigger                                 |\n|-----------------------------|-----------------------------------------|\n| payment.succeeded           | Payment completes successfully          |\n| payment.failed              | Payment fails                           |\n| payment.refunded            | Refund created                          |\n| subscription.created        | New subscription starts                 |\n| subscription.renewed        | Subscription renews                     |\n| subscription.cancelled      | Subscription cancelled                  |\n| subscription.payment_failed | Subscription billing fails              |\n| customer.created            | New customer created                    |\n| dispute.created             | Chargeback initiated                    |"", ""When a subscription renewal charge fails, NexusPay fires the `subscription.payment_failed` webhook:""]",0.912,0.571,1.483,445,54,499,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00030867,0.7493,0.0008606
Q041,semantic,reference/architecture_overview.md; guides/integration_quickstart.md; guides/metadata_guide.md,Where is NexusPay data stored by default?,"EU region, specifically Frankfurt, Germany. US data residency is available on Enterprise plans but cannot be changed after account creation.","By default, NexusPay data is stored in a secure, encrypted AWS RDS PostgreSQL instance within the `us-east-1` region. For detailed configuration options, please refer to the **Data Residency** section of the Administrator Guide.",The provided text does not contain information regarding where NexusPay data is stored by default.,"[""- Do not store sensitive data in metadata: no card numbers, passwords, SSNs, or authentication tokens.\n- Metadata is visible to anyone with access to your NexusPay Dashboard and to any system that calls the API with your secret key. Apply the same access controls you would to any business data.\n- Metadata is not end-to-end encrypted beyond NexusPay's standard data-at-rest encryption. Do not rely on it for data classification purposes."", ""- A NexusPay account (sign up at nexuspay.eu)\n- Your **test secret key** (`sk_test_...`) from the Dashboard under **Developers → API Keys**"", ""NexusPay uses API keys for authentication. There are two types:"", ""Store your internal user or customer ID on NexusPay customer and payment objects. This is especially useful when a customer uses multiple email addresses or payment methods across their lifetime."", ""nexuspay.api_key = os.environ[\""NEXUSPAY_SECRET_KEY\""]""]",1.201,0.564,1.765,379,66,445,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00036737,0.7493,0.000821
Q042,semantic,reference/endpoints.md; guides/customers_guide.md; guides/subscriptions_guide.md,How does proration work when upgrading a subscription?,"When calling POST /subscriptions/:id/upgrade, proration is calculated automatically by NexusPay.","When upgrading a subscription, the system calculates the unused portion of the current plan as a credit and applies it toward the cost of the new plan. The customer is then charged the difference for the remainder of the billing cycle.",Proration is calculated automatically when upgrading or downgrading a subscription plan.,"[""### POST /subscriptions/:id/upgrade\nUpgrade or downgrade a subscription plan. Proration is calculated automatically."", ""Plans define the recurring charge amount and interval. Create plans once and reuse them across many subscriptions."", ""A customer may have multiple payment methods. The `default_payment_method` is used for subscription renewals and any payment request that references the customer without specifying a payment method."", ""The subscription remains `active` until the end of the current billing period, then transitions to `cancelled`:"", ""Attach the customer to a plan to start a subscription. Optionally include a trial period.""]",1.128,0.495,1.623,291,62,353,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00033781,0.7493,0.0006802
Q043,semantic,reference/architecture_overview.md; guides/security_guide.md; guides/webhooks_guide.md; reference/authentication.md,What authentication methods are supported for the NexusPay dashboard?,"Two-factor authentication is required for key management. Supported methods: TOTP (Google Authenticator, Authy) or hardware security keys (FIDO2/WebAuthn).","The NexusPay dashboard supports Single Sign-On (SSO) via SAML 2.0 and standard email/password authentication. For enhanced security, Multi-Factor Authentication (MFA) is required for all administrative accounts.","API key management in the NexusPay dashboard requires two-factor authentication (2FA), which can be configured via hardware security keys (FIDO2/WebAuthn) or TOTP (Authy, Google Authenticator).","[""NexusPay uses API keys for authentication. There are two types:"", ""API key management in the dashboard requires two-factor authentication (2FA). 2FA can be configured via TOTP (Google Authenticator, Authy) or hardware security keys (FIDO2/WebAuthn)."", ""NexusPay signs every webhook request using **HMAC-SHA256** with your webhook secret. Always verify the signature before processing the payload. Failing to do so exposes your endpoint to spoofed events."", ""NexusPay authenticates requests using API keys passed in the HTTP `Authorization` header."", ""1. **Verify the HMAC-SHA256 signature** on every incoming request using the `X-NexusPay-Signature` header. Reject any request whose signature does not match.\n2. **Reject stale timestamps**: discard events where `X-NexusPay-Timestamp` is more than 5 minutes old to prevent replay attacks.\n3. **Use HTTPS only**: webhook endpoints must be served over TLS (HTTPS). Plain HTTP endpoints will not receive events in production.""]",1.176,1.235,2.411,392,93,485,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00050182,0.7493,0.000958
Q044,semantic,guides/integration_quickstart.md; guides/payments_flow.md; guides/multi_currency_guide.md; guides/api_versioning.md,How is amount represented in the API?,"Always in cents as an integer. For example, 1000 = €10.00. This avoids floating point precision issues.","Amounts are represented as integers in the smallest currency unit (e.g., cents for USD) to avoid floating-point precision errors. For example, a value of `1000` represents $10.00.","Amounts in the API must always be expressed as integers in the smallest currency unit (such as cents, pennies, etc.) [1, 2, 5]. For example, €10.00 is represented as `1000` [1]. Using decimal values will result in a `400 invalid_request` error [5].","[""Amounts are always expressed in the **smallest currency unit**. For EUR, that is cents: €10.00 = `1000`."", ""All `amount` values in the API must be expressed in the **smallest currency unit** (cents, pennies, etc.):"", ""| Currency | Code | Smallest Unit | Notes |\n|----------|------|---------------|-------|\n| Euro | `EUR` | cent (1/100) | Primary settlement currency |\n| US Dollar | `USD` | cent (1/100) | |\n| Pound Sterling | `GBP` | penny (1/100) | |\n| Swiss Franc | `CHF` | rappen (1/100) | |\n| Swedish Krona | `SEK` | öre (1/100) | |\n| Norwegian Krone | `NOK` | øre (1/100) | |\n| Danish Krone | `DKK` | øre (1/100) | |"", ""Using your **secret key**, your backend calls `POST /payments` with the token, amount, and currency. The `amount` field is always expressed in the **smallest currency unit** (cents for EUR/USD/GBP)."", ""**v2** requires amounts to always be expressed as **integers in the smallest currency unit** (cents, pennies, etc.). Decimal values return a `400 invalid_request` error.""]",1.2,1.998,3.198,489,122,611,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00066563,0.7493,0.0012214
Q045,semantic,guides/webhooks_guide.md; guides/pagination_advanced.md; reference/rate_limits.md; guides/going_live_checklist.md,What does the X-RateLimit-Reset header contain?,A Unix timestamp indicating when the current rate limit window resets.,"The `X-RateLimit-Reset` header contains a Unix timestamp indicating the exact time when the current rate limit window resets. Once this time is reached, the user's request quota is fully replenished.",The `X-RateLimit-Reset` header contains a Unix timestamp that indicates when the current window resets.,"[""`X-RateLimit-Reset` is a Unix timestamp indicating when the current window resets."", ""- [ ] **Rate limit headers monitored**: Your application reads the `X-RateLimit-Remaining` and `X-RateLimit-Reset` response headers and alerts when approaching limits.\n- [ ] **Bulk operations throttled**: Batch jobs and nightly reconciliation scripts are rate-limited to stay within the thresholds defined in `docs/reference/rate_limits.md`."", ""NexusPay API enforces rate limits per API key, per plan. Limits reset every 60 seconds (rolling window)."", ""| Header | Description |\n|--------|-------------|\n| `X-NexusPay-Signature` | HMAC-SHA256 hex digest of the raw request body |\n| `X-NexusPay-Timestamp` | Unix timestamp (seconds) of when the event was sent |"", ""Monitor the `X-RateLimit-Remaining` response header to adjust your delay dynamically:""]",1.081,0.689,1.77,382,66,448,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00036841,0.7493,0.0008252
Q046,semantic,reference/architecture_overview.md; guides/security_guide.md; reference/authentication.md,Can plain HTTP connections be used with the NexusPay API?,"No. Plain HTTP is rejected with a connection error, not an HTTP response. All requests must use HTTPS.","No, plain HTTP connections are not supported. For security and data integrity, the NexusPay API requires all requests to be transmitted over HTTPS using TLS 1.2 or higher.","No, plain HTTP connections cannot be used; NexusPay rejects them at the infrastructure level with a connection error. All API requests must be made over HTTPS (TLS 1.2 or higher).","[""All API requests must be made over **HTTPS (TLS 1.2 or higher)**. NexusPay rejects plaintext HTTP connections at the infrastructure level. Ensure that:"", ""All API requests must use HTTPS. Plain HTTP connections are rejected with a connection error, not an HTTP response."", ""Your webhook endpoint receives signed HTTP POST requests from NexusPay. Without proper security:"", ""NexusPay authenticates requests using API keys passed in the HTTP `Authorization` header."", ""NexusPay uses API keys for authentication. There are two types:""]",0.934,1.06,1.994,282,77,359,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00041503,0.7493,0.0007336
Q047,semantic,reference/architecture_overview.md; guides/auth_capture_flow.md; reference/endpoints.md,What happens to an authorized payment if I do not capture it within 7 days?,The authorization expires automatically and the held funds are released. You cannot capture it after expiry — the error code returned is capture_window_expired.,"If a payment is not captured within 7 days, the authorization expires and the held funds are automatically released back to the customer's account. To collect payment after this window, you must initiate a new authorization request.","If an authorized payment is not captured within 7 days, the authorization expires automatically, the hold is released, and the funds return to the customer. Once expired, the authorization can no longer be captured.","[""**Separation of authorization and capture.** By default, `POST /payments` both authorizes and captures in a single step. For marketplaces and delayed fulfillment, set `capture: false` to authorize only. The authorization holds funds on the customer's card for up to 7 days. After that, the authorization expires automatically."", ""The `capture_before` timestamp indicates the deadline by which you must capture. Authorizations expire after **7 days**. After expiry, the hold is automatically released and the funds return to the customer — you cannot capture an expired authorization."", ""### POST /payments/:id/capture\nCapture an authorized payment. Only valid if `capture: false` was set on creation. Must be called within **7 days** of authorization."", ""| Error code | Cause | Resolution |\n|------------|-------|------------|\n| `authorization_expired` | Attempted capture after the 7-day window | Create a new authorization |\n| `authorization_already_captured` | Payment already captured | No action needed; check payment status |\n| `invalid_capture_amount` | Capture amount exceeds authorized amount | Capture equal to or less than the original amount |"", ""If the customer cancels the reservation or you no longer need the hold, cancel the authorization to release the funds immediately rather than waiting for the 7-day expiry:""]",1.128,1.154,2.282,469,87,556,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00047497,0.7493,0.0010394
Q048,semantic,reference/endpoints.md; reference/pagination_filtering.md; guides/metadata_guide.md,What filters can I use when listing subscriptions?,"customer_id, status (active, cancelled, past_due, trialing), and plan_id.","You can filter subscriptions using the `--filter` flag combined with specific query parameters, such as `status` or `subscriptionId`. For a complete list of supported filter expressions, refer to the **API Reference** section of the documentation.","When listing subscriptions, you can use the following filters:
* `customer_id` (string): Subscriptions for a specific customer
* `status` (string): `active`, `cancelled`, `past_due`, `trialing`
* `plan_id` (string): Subscriptions on a specific plan","[""| Filter        | Type   | Description                              |\n|---------------|--------|------------------------------------------|\n| `customer_id` | string | Subscriptions for a specific customer    |\n| `status`      | string | `active`, `cancelled`, `past_due`, `trialing` |\n| `plan_id`     | string | Subscriptions on a specific plan         |"", ""List endpoints support filters via query parameters."", ""| Filter       | Type   | Description                    |\n|--------------|--------|--------------------------------|\n| `payment_id` | string | Refunds for a specific payment |\n| `from`       | date   | Created on or after this date  |\n| `to`         | date   | Created on or before this date |"", ""For full filter syntax and pagination parameters, see `docs/guides/pagination_filtering.md`."", ""### GET /customers/:id\n### PUT /customers/:id\n### DELETE /customers/:id\nDeleting a customer does not cancel active subscriptions — cancel subscriptions first.""]",1.202,1.764,2.966,389,115,504,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00061734,0.7493,0.0010506
Q049,semantic,reference/pagination_filtering.md; guides/reporting_guide.md,What is the maximum date range for a report summary query?,"365 days. For longer ranges, use the Reports API.",The maximum date range for a report summary query is 365 consecutive days. Queries exceeding this limit will return a `RangeTooLarge` error.,The maximum date range for a single report request is 365 days.,"[""The maximum date range for a single report request is **365 days**. Requests spanning more than 365 days return a `400 invalid_request` error. For multi-year data, make multiple requests with non-overlapping date ranges and aggregate the results in your application."", ""The maximum date range for list queries is **365 days**. Requests spanning more than 365 days will return a validation error. For longer ranges, use the Reports API."", ""Report generation is resource-intensive. Long date ranges at daily granularity may take several seconds to process. If you are generating reports programmatically, space out requests and respect the rate limits defined in `docs/reference/rate_limits.md`. Consider scheduling report generation during off-peak hours."", ""```\nGET /reports/summary?start_date=2025-06-01&end_date=2025-06-30&granularity=week\n```"", ""```\nGET /reports/summary?start_date=2025-01-01&end_date=2025-12-31&granularity=month\n```""]",0.815,0.552,1.367,428,49,477,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00028453,0.7493,0.0008148
Q050,semantic,guides/testing_guide.md; guides/error_handling_guide.md; reference/error_codes.md,What does the do_not_honor error mean and what should the customer do?,do_not_honor is a generic decline from the card issuer. The customer should contact their bank directly — NexusPay cannot provide more specific information.,The `do_not_honor` error is a generic decline response from the issuing bank indicating that the transaction cannot be processed. The customer should contact their card issuer to resolve the issue or attempt the payment with a different payment method.,The `do_not_honor` error is a generic decline from the card issuer [4]. The customer should contact their bank or use a different card [2].,"[""**Do not retry `card_declined` errors.** Repeated decline attempts may trigger fraud flags at the issuer and worsen the customer's experience. Instead, prompt the customer to try a different card or contact their bank."", ""| `decline_code` | Customer-facing message |\n|----------------|------------------------|\n| `insufficient_funds` | \""Your card has insufficient funds. Please try a different card.\"" |\n| `expired_card` | \""Your card has expired. Please update your payment details.\"" |\n| `do_not_honor` | \""Your bank declined this transaction. Please contact your bank or use a different card.\"" |\n| `lost_card` | \""This transaction cannot be processed. Please contact your bank.\"" |\n| `stolen_card` | \""This transaction cannot be processed. Please contact your bank.\"" |"", ""| Card Number | Outcome | Error Code |\n|-------------|---------|------------|\n| `4242 4242 4242 4242` | Payment succeeds | — |\n| `4000 0000 0000 0002` | Card declined | `card_declined` |\n| `4000 0000 0000 9995` | Insufficient funds | `card_declined` / `insufficient_funds` |\n| `4000 0000 0000 0069` | Card expired | `expired_card` |\n| `4000 0000 0000 0127` | Incorrect CVC | `incorrect_cvc` |\n| `4000 0000 0000 0119` | Processing error | `processing_error` |\n| `4000 0000 0000 0044` | Do not honour | `do_not_honor` |"", ""| Code                        | Description                                          |\n|-----------------------------|------------------------------------------------------|\n| `card_declined`             | Card was declined by the issuer                      |\n| `insufficient_funds`        | Card has insufficient funds                          |\n| `card_expired`              | Card expiration date has passed                      |\n| `incorrect_cvc`             | CVC code is incorrect                                |\n| `do_not_honor`              | Generic decline — contact card issuer                |\n| `fraudulent`                | Payment blocked by fraud detection                   |\n| `capture_window_expired`    | 7-day capture window has passed                      |\n| `payment_not_capturable`    | Payment was not created with `capture: false`        |\n| `already_captured`          | Payment has already been captured                    |\n| `already_cancelled`         | Payment has already been cancelled                   |"", ""Not all `card_declined` errors are equivalent. Use `decline_code` to provide a specific message to the customer:""]",1.202,1.173,2.375,862,83,945,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00049433,0.7493,0.001572
