id,type,source,question,ideal_answer,hypothetical_answer,generated_answer,retrieved_context,hyde_latency_s,answer_latency_s,total_latency_s,prompt_tokens,completion_tokens,tokens_used,embedding_model,llm_model,cost_per_query_usd,gpu_hourly_rate_usd,equivalent_api_cost_usd
Q036,semantic,guides/subscriptions_guide.md; guides/customers_guide.md; reference/endpoints.md,What is the difference between cancel_at_period_end and immediate cancellation for subscriptions?,"Setting cancel_at_period_end: true cancels at the next billing date, allowing the customer to use the service until then. Immediate cancellation stops billing right away.","`cancel_at_period_end` schedules cancellation to take effect at the end of the current subscription period, while `immediate cancellation` terminates access immediately, potentially refunding unused time depending on your billing policy. Choosing `cancel_at_period_end` provides a grace period for users before access is removed, whereas `immediate cancellation` enforces termination right away.","According to the provided context:

*   `cancel_at_period_end: true` (from [1]) cancels the subscription at the next billing date. The subscription remains `active` until the end of the current billing period, then transitions to `cancelled` ([2]).
*   Immediate cancellation (from [4]) does not issue a refund for unused time. If a refund is owed, it must be issued separately via the Refunds API.","[""### POST /subscriptions/:id/cancel\nCancel a subscription. `cancel_at_period_end: true` cancels at next billing date."", ""The subscription remains `active` until the end of the current billing period, then transitions to `cancelled`:"", ""### GET /customers/:id\n### PUT /customers/:id\n### DELETE /customers/:id\nDeleting a customer does not cancel active subscriptions — cancel subscriptions first."", ""Immediate cancellation does not issue a refund for unused time. If a refund is owed, issue it separately via the Refunds API (see `docs/guides/refunds_guide.md`)."", ""**Critical warning:** Deleting a customer object does **not** automatically cancel their active subscriptions. If a customer with active subscriptions is deleted:""]",1.699,2.175,3.874,334,169,503,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00080633,0.7493,0.0012112
Q037,semantic,guides/error_handling_guide.md; guides/going_live_checklist.md,How should I handle a card_declined error?,card_declined means the issuer rejected the payment. The customer should try a different card or contact their bank. Do not retry the same card automatically as it may trigger fraud detection.,"When encountering a `card_declined` error, immediately log the event with relevant details like transaction ID and error code for debugging. Implement retry logic with exponential backoff – attempting the transaction again after increasing intervals – but limit retries to prevent account lockouts or further charges.","According to the provided context:

You should **not retry `card_declined` errors**. Instead, prompt the customer to try a different card or contact their bank. You can also use the `decline_code` to provide a specific customer-facing message based on the reason for the decline (e.g., insufficient funds, expired card, etc.). Here are some examples of customer-facing messages based on `decline_code`:

*   `insufficient_funds`: ""Your card has insufficient funds. Please try a different card.""
*   `expired_card`: ""Your card has expired. Please update your payment details.""
*   `do_not_honor`: ""Your bank declined this transaction. Please contact your bank or use a different card.""
*   `lost_card`: ""This transaction cannot be processed. Please contact your bank.""
*   `stolen_card`: ""This transaction cannot be processed. Please contact your bank.""","[""**Do not retry `card_declined` errors.** Repeated decline attempts may trigger fraud flags at the issuer and worsen the customer's experience. Instead, prompt the customer to try a different card or contact their bank."", ""- [ ] **All error codes handled**: Your application handles every error code in `docs/reference/error_codes.md` gracefully — no unhandled exceptions that surface raw API errors to end users.\n- [ ] **Non-retryable errors not retried**: `card_declined`, `expired_card`, `do_not_honor`, and similar codes do not trigger automatic retries. The customer is prompted to resolve the issue instead.\n- [ ] **Retryable errors use backoff**: `service_unavailable`, `gateway_timeout`, and `internal_server_error` responses trigger retries with exponential backoff. See `docs/guides/error_handling_guide.md`.\n- [ ] **Rate limit errors handled**: HTTP 429 responses read the `retry_after` value and wait the specified duration before retrying."", ""Not all `card_declined` errors are equivalent. Use `decline_code` to provide a specific message to the customer:"", ""| `decline_code` | Customer-facing message |\n|----------------|------------------------|\n| `insufficient_funds` | \""Your card has insufficient funds. Please try a different card.\"" |\n| `expired_card` | \""Your card has expired. Please update your payment details.\"" |\n| `do_not_honor` | \""Your bank declined this transaction. Please contact your bank or use a different card.\"" |\n| `lost_card` | \""This transaction cannot be processed. Please contact your bank.\"" |\n| `stolen_card` | \""This transaction cannot be processed. Please contact your bank.\"" |"", ""Robust error handling is essential for building reliable payment integrations. This guide covers how to classify errors, implement safe retry logic, handle rate limits, and structure your logging to aid incident response.""]",1.301,4.73,6.031,608,259,867,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00125529,0.7493,0.0019908
Q038,semantic,guides/metadata_guide.md; guides/payments_flow.md; guides/security_guide.md; reference/authentication.md,What security practices does NexusPay recommend for API keys?,"Use environment variables or a secrets manager, never commit to version control, use least-privilege scopes, rotate every 90 days in high-security environments, monitor for unexpected usage spikes.","NexusPay strongly recommends storing API keys in environment variables rather than directly in code, and implementing rate limiting to mitigate brute-force attacks. We also advise regularly rotating keys and restricting access permissions to only those necessary for each application's function. Refer to our Security Best Practices guide for detailed implementation instructions.","NexusPay recommends several security practices for API keys:

*   **Never commit API keys to version control.** Use environment variables or a secrets manager instead. ([1])
*   **Use the principle of least privilege** – scope keys to the minimum required operations. ([1])
*   **Rotate keys every 90 days** in high-security environments. ([1])
*   **Monitor API key usage** in the dashboard for unexpected spikes. ([1])
*   **Use different keys for different environments** (development, staging, production). ([1])
*   **Immediately rotate your API keys** via the Dashboard in case of an incident. ([3])
*   **Store the secret key** in environment variables or a secrets manager. ([4])
*   **Never log the secret key** or include it in error messages. ([4])
*   **Never include the secret key** in frontend JavaScript bundles. ([4])","[""- Never commit API keys to version control. Use environment variables or a secrets manager.\n- Use the principle of least privilege — scope keys to the minimum required operations.\n- Rotate keys every 90 days in high-security environments.\n- Monitor API key usage in the dashboard — unexpected spikes may indicate a compromised key.\n- Use different keys for different environments (development, staging, production)."", ""NexusPay uses a two-key model to keep your server out of PCI scope as much as possible:"", ""1. Immediately rotate your API keys via the Dashboard.\n2. Review your webhook secret and rotate it if there is any risk of exposure.\n3. Contact NexusPay security at security@nexuspay.eu with your account ID and a description of the incident.\n4. Preserve logs and do not delete any potentially relevant data until the investigation is complete."", ""- Store the secret key in environment variables or a secrets manager (e.g., HashiCorp Vault, AWS Secrets Manager). Never hardcode it in source code.\n- Never commit secret keys to version control, even in private repositories.\n- Never log the secret key or include it in error messages.\n- Do not include the secret key in frontend JavaScript bundles."", ""- Do not store sensitive data in metadata: no card numbers, passwords, SSNs, or authentication tokens.\n- Metadata is visible to anyone with access to your NexusPay Dashboard and to any system that calls the API with your secret key. Apply the same access controls you would to any business data.\n- Metadata is not end-to-end encrypted beyond NexusPay's standard data-at-rest encryption. Do not rely on it for data classification purposes.""]",1.382,4.614,5.996,518,260,778,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.001248,0.7493,0.0018692
Q039,semantic,reference/architecture_overview.md; guides/testing_guide.md; guides/error_handling_guide.md; reference/endpoints.md,How does the webhook retry policy work?,"Failed deliveries are retried up to 5 times with exponential backoff: 1 minute, 5 minutes, 30 minutes, 2 hours, 8 hours.","The webhook retry policy defines how many times our system will attempt to deliver a webhook event if the initial delivery fails. It uses exponential backoff with a jitter, meaning retry attempts increase in duration but with random variations to avoid overwhelming the endpoint – defaults are configurable in your project settings.  Successful deliveries stop retries, while exceeding the maximum attempts results in event logging and eventual discarding.","Failed webhook deliveries are retried up to **5 times** with exponential backoff: 1min, 5min, 30min, 2h, 8h. (source: reference/endpoints.md)","[""**Retry policy:** Failed webhook deliveries are retried up to **5 times** with exponential backoff: 1min, 5min, 30min, 2h, 8h."", ""def retry_with_backoff(fn, max_retries=4):\n    for attempt in range(max_retries):\n        try:\n            return fn()\n        except RetryableError as e:\n            if attempt == max_retries - 1:\n                raise\n            wait = (2 ** attempt) + random.uniform(0, 1)\n            time.sleep(wait)\n```"", ""**Eventual consistency for webhooks.** Webhook delivery is asynchronous. After a payment succeeds, the `payment.succeeded` event may arrive at your endpoint within milliseconds or up to 30 seconds later, depending on load. Never rely on webhooks as the primary source of truth — always confirm payment status via the API."", ""Always use an **idempotency key** on requests you intend to retry. This ensures that even if the original request succeeded and the response was lost in transit, retrying returns the original result rather than creating a duplicate. See `docs/guides/idempotency_guide.md`."", ""- [ ] Successful payment creates and stores a payment ID correctly\n- [ ] Declined payment surfaces an appropriate error message to the user\n- [ ] Retry with the same idempotency key returns the original result (not a new payment)\n- [ ] Refund creates correctly and fires `refund.succeeded` webhook\n- [ ] Webhook signature verification rejects tampered payloads\n- [ ] Webhook timestamp check rejects events older than 5 minutes\n- [ ] Duplicate webhook delivery is handled idempotently""]",1.73,1.234,2.964,530,125,655,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00061692,0.7493,0.001292
Q040,semantic,reference/endpoints.md; guides/subscriptions_guide.md; guides/testing_guide.md; guides/customers_guide.md,What webhook event is fired when a subscription billing fails?,subscription.payment_failed,"Typically, a `subscription.payment_failed` webhook event is fired when a subscription billing attempt fails due to issues like insufficient funds or invalid payment method. This event allows your application to react by notifying the customer or initiating retry logic. Refer to your specific payment provider's documentation for exact event naming conventions.","According to source [3] and [4], the webhook event fired when a subscription billing fails is `subscription.payment_failed`.","[""- The subscriptions remain in the `active` or `trialing` state.\n- Renewal charges will fail because the customer record no longer exists.\n- This results in failed subscription payments and `subscription.payment_failed` webhook events."", ""This triggers the renewal charge immediately, firing the appropriate webhook events (`subscription.renewed` or `subscription.payment_failed`)."", ""When a subscription renewal charge fails, NexusPay fires the `subscription.payment_failed` webhook:"", ""| Event                        | Trigger                                 |\n|-----------------------------|-----------------------------------------|\n| payment.succeeded           | Payment completes successfully          |\n| payment.failed              | Payment fails                           |\n| payment.refunded            | Refund created                          |\n| subscription.created        | New subscription starts                 |\n| subscription.renewed        | Subscription renews                     |\n| subscription.cancelled      | Subscription cancelled                  |\n| subscription.payment_failed | Subscription billing fails              |\n| customer.created            | New customer created                    |\n| dispute.created             | Chargeback initiated                    |"", ""**Recommended action on `subscription.payment_failed`:**\n- Notify the customer by email with a link to update their payment method.\n- Check `attempt_count` to escalate urgency in follow-up messages.""]",1.434,0.748,2.182,437,91,528,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00045416,0.7493,0.0010122
Q041,semantic,reference/architecture_overview.md; guides/security_guide.md; guides/metadata_guide.md; guides/going_live_checklist.md,Where is NexusPay data stored by default?,"EU region, specifically Frankfurt, Germany. US data residency is available on Enterprise plans but cannot be changed after account creation.","NexusPay data is primarily stored in a PostgreSQL database by default, utilizing encrypted storage for sensitive information like payment details. This database resides on the application server itself unless explicitly configured to use a separate, dedicated database instance for scalability or security reasons. Refer to the ""Deployment Configuration"" section in the NexusPay documentation for detailed storage options.","Based on context [1], NexusPay data is not end-to-end encrypted beyond NexusPay's standard data-at-rest encryption. This implies it's stored on NexusPay's servers. Context [2] states card data travels directly to NexusPay's PCI-compliant servers. Therefore, NexusPay data is stored on **NexusPay's PCI-compliant servers**.","[""- Do not store sensitive data in metadata: no card numbers, passwords, SSNs, or authentication tokens.\n- Metadata is visible to anyone with access to your NexusPay Dashboard and to any system that calls the API with your secret key. Apply the same access controls you would to any business data.\n- Metadata is not end-to-end encrypted beyond NexusPay's standard data-at-rest encryption. Do not rely on it for data classification purposes."", ""1. **Your frontend** uses the NexusPay.js library (or mobile SDK) and your **publishable key** to collect card data directly in the customer's browser.\n2. Card data travels directly to NexusPay's PCI-compliant servers — it never touches your backend.\n3. NexusPay returns a short-lived, single-use **payment token** that contains no sensitive data.\n4. **Your backend** uses this token with your **secret key** to create a payment."", ""Store your internal user or customer ID on NexusPay customer and payment objects. This is especially useful when a customer uses multiple email addresses or payment methods across their lifetime."", ""NexusPay uses API keys for authentication. There are two types:"", ""- [ ] **Card tokenization only on frontend**: Raw card data is never sent to your backend. All card collection uses NexusPay.js or the mobile SDK with your publishable key.\n- [ ] **Payment IDs persisted before order fulfilment**: The `payment.id` is saved to your database as part of the same transaction that fulfils the order, preventing fulfilment without a confirmed payment reference.\n- [ ] **Amount in smallest currency unit**: All `amount` values are expressed in cents (or equivalent), not decimal. €10.00 = `1000`.""]",1.521,1.98,3.501,538,148,686,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00072869,0.7493,0.0014044
Q042,semantic,guides/subscriptions_guide.md; reference/endpoints.md,How does proration work when upgrading a subscription?,"When calling POST /subscriptions/:id/upgrade, proration is calculated automatically by NexusPay.","Proration calculates the remaining value of your current subscription period and applies it towards the new subscription tier. This ensures you're only charged for the time you *didn't* have access to the upgraded features, rather than the full new subscription cost immediately.  We typically use a daily rate calculation for accurate billing adjustments.","According to the context provided, when upgrading a subscription, NexusPay calculates proration automatically. You can control *when* this proration happens using the `proration_behavior` setting:

*   `create_prorations`: Immediately charges or credits the prorated difference.
*   `none`: Plan changes at the next billing period with no immediate charge.

You update the `plan_id` to change the subscription's plan (source [2]).","[""### POST /subscriptions/:id/upgrade\nUpgrade or downgrade a subscription plan. Proration is calculated automatically."", ""To change a subscription's plan, update the `plan_id`. NexusPay calculates proration automatically."", ""| `proration_behavior` | Effect |\n|----------------------|--------|\n| `create_prorations` | Immediately charges or credits the prorated difference |\n| `none` | Plan changes at next billing period with no immediate charge |"", ""Plans define the recurring charge amount and interval. Create plans once and reuse them across many subscriptions."", ""The subscription remains `active` until the end of the current billing period, then transitions to `cancelled`:""]",1.523,2.242,3.765,306,164,470,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00078364,0.7493,0.00115
Q043,semantic,reference/architecture_overview.md; guides/webhooks_guide.md; guides/customers_guide.md; reference/authentication.md,What authentication methods are supported for the NexusPay dashboard?,"Two-factor authentication is required for key management. Supported methods: TOTP (Google Authenticator, Authy) or hardware security keys (FIDO2/WebAuthn).","NexusPay currently supports password-based authentication and multi-factor authentication (MFA) via time-based one-time passwords (TOTP). We strongly recommend enabling MFA for enhanced security. Detailed instructions for setting up MFA can be found in the ""Security"" section of our documentation.","API key management in the dashboard requires two-factor authentication (2FA). 2FA can be configured via TOTP (Google Authenticator, Authy) or hardware security keys (FIDO2/WebAuthn). [source: reference/authentication.md]","[""NexusPay uses API keys for authentication. There are two types:"", ""NexusPay authenticates requests using API keys passed in the HTTP `Authorization` header."", ""NexusPay signs every webhook request using **HMAC-SHA256** with your webhook secret. Always verify the signature before processing the payload. Failing to do so exposes your endpoint to spoofed events."", ""API key management in the dashboard requires two-factor authentication (2FA). 2FA can be configured via TOTP (Google Authenticator, Authy) or hardware security keys (FIDO2/WebAuthn)."", ""After creating a customer, attach a payment method using a token obtained from NexusPay.js (see `docs/guides/payments_flow.md`):""]",1.323,1.308,2.631,319,113,432,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00054761,0.7493,0.0009438
Q044,semantic,guides/multi_currency_guide.md; guides/api_versioning.md; guides/integration_quickstart.md; guides/payments_flow.md,How is amount represented in the API?,"Always in cents as an integer. For example, 1000 = €10.00. This avoids floating point precision issues.","The `amount` field in our API is represented as a decimal number with two decimal places, signifying cents. This ensures precision for monetary values and avoids floating-point inaccuracies; all values are stored internally as integers representing the number of cents. Refer to the ""Data Types"" section in the API reference for further details.","According to the provided context, amounts in the API are always expressed in the **smallest currency unit** (cents, pennies, etc.). Specifically:

*   For EUR, €10.00 = `1000`.
*   For USD/GBP/CHF, amounts are expressed in cents.
*   Examples show €10.00 = `1000`, $49.99 = `4999`, CHF 25.50 = `2550`, SEK 150.00 = `15000`.

Previously (v1), amounts could be represented in either decimal (`49.99`) or integer (`4999`) format depending on the endpoint. However, the current context emphasizes the use of the smallest currency unit in integer format.","[""All `amount` values in the API must be expressed in the **smallest currency unit** (cents, pennies, etc.):"", ""Amounts are always expressed in the **smallest currency unit**. For EUR, that is cents: €10.00 = `1000`."", ""Using your **secret key**, your backend calls `POST /payments` with the token, amount, and currency. The `amount` field is always expressed in the **smallest currency unit** (cents for EUR/USD/GBP)."", ""| Amount you want to charge | Correct API value |\n|---------------------------|-------------------|\n| €10.00 | `1000` |\n| $49.99 | `4999` |\n| CHF 25.50 | `2550` |\n| SEK 150.00 | `15000` |"", ""**v1** accepted amounts in either decimal (`49.99`) or integer (`4999`) format, depending on the endpoint.""]",1.479,4.069,5.548,393,242,635,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00115475,0.7493,0.001615
Q045,semantic,guides/pagination_advanced.md; reference/rate_limits.md; reference/error_codes.md; guides/going_live_checklist.md,What does the X-RateLimit-Reset header contain?,A Unix timestamp indicating when the current rate limit window resets.,"The `X-RateLimit-Reset` header indicates the time (in seconds since epoch, typically Unix timestamp) when your current rate limit will be refreshed. This allows you to calculate when you can make further requests without being throttled, aiding efficient API usage. It's crucial for managing your application's request frequency.","According to source [1], `X-RateLimit-Reset` is a Unix timestamp indicating when the current window resets.","[""`X-RateLimit-Reset` is a Unix timestamp indicating when the current window resets."", ""- [ ] **Rate limit headers monitored**: Your application reads the `X-RateLimit-Remaining` and `X-RateLimit-Reset` response headers and alerts when approaching limits.\n- [ ] **Bulk operations throttled**: Batch jobs and nightly reconciliation scripts are rate-limited to stay within the thresholds defined in `docs/reference/rate_limits.md`."", ""NexusPay API enforces rate limits per API key, per plan. Limits reset every 60 seconds (rolling window)."", ""Monitor the `X-RateLimit-Remaining` response header to adjust your delay dynamically:"", ""| Code                  | Description                                              |\n|-----------------------|----------------------------------------------------------|\n| `rate_limit_exceeded` | Too many requests. Check `retry_after` in response body  |\n| `ip_limit_exceeded`   | IP-level limit of 5,000 req/min exceeded                 |""]",1.522,0.67,2.192,387,93,480,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00045624,0.7493,0.000951
Q046,semantic,reference/architecture_overview.md; reference/authentication.md; guides/security_guide.md; guides/webhooks_guide.md,Can plain HTTP connections be used with the NexusPay API?,"No. Plain HTTP is rejected with a connection error, not an HTTP response. All requests must use HTTPS.","No, the NexusPay API **requires HTTPS** for all connections due to security regulations regarding financial transactions. Attempting to connect via plain HTTP will result in connection errors and data will not be transmitted securely. Refer to our Security Best Practices documentation for further details.","No, plain HTTP connections cannot be used with the NexusPay API. All API requests must be made over HTTPS (TLS 1.2 or higher). NexusPay rejects plaintext HTTP connections at the infrastructure level. (source: guides/security_guide.md)","[""All API requests must be made over **HTTPS (TLS 1.2 or higher)**. NexusPay rejects plaintext HTTP connections at the infrastructure level. Ensure that:"", ""Your webhook endpoint receives signed HTTP POST requests from NexusPay. Without proper security:"", ""NexusPay uses API keys for authentication. There are two types:"", ""NexusPay signs every webhook request using **HMAC-SHA256** with your webhook secret. Always verify the signature before processing the payload. Failing to do so exposes your endpoint to spoofed events."", ""NexusPay authenticates requests using API keys passed in the HTTP `Authorization` header.""]",1.212,1.28,2.492,295,107,402,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00051868,0.7493,0.0008838
Q047,semantic,reference/architecture_overview.md; guides/auth_capture_flow.md; reference/endpoints.md,What happens to an authorized payment if I do not capture it within 7 days?,The authorization expires automatically and the held funds are released. You cannot capture it after expiry — the error code returned is capture_window_expired.,"Authorized payments not captured within 7 days are typically voided by the payment gateway to prevent potential fraud and ensure funds aren't held indefinitely. This releases the authorization hold on the customer's account, but you will no longer be able to capture those funds – you'll need to re-authorize a new transaction if you still intend to charge them. Refer to your specific gateway's documentation for exact timing and policies.","According to the provided context ([1], [3], [4]), if you do not capture an authorized payment within 7 days, the hold expires automatically and the funds return to the customer. You cannot capture an expired authorization ([3], [4]). You would need to create a new authorization ([4]).","[""**Separation of authorization and capture.** By default, `POST /payments` both authorizes and captures in a single step. For marketplaces and delayed fulfillment, set `capture: false` to authorize only. The authorization holds funds on the customer's card for up to 7 days. After that, the authorization expires automatically."", ""### POST /payments/:id/capture\nCapture an authorized payment. Only valid if `capture: false` was set on creation. Must be called within **7 days** of authorization."", ""The `capture_before` timestamp indicates the deadline by which you must capture. Authorizations expire after **7 days**. After expiry, the hold is automatically released and the funds return to the customer — you cannot capture an expired authorization."", ""| Error code | Cause | Resolution |\n|------------|-------|------------|\n| `authorization_expired` | Attempted capture after the 7-day window | Create a new authorization |\n| `authorization_already_captured` | Payment already captured | No action needed; check payment status |\n| `invalid_capture_amount` | Capture amount exceeds authorized amount | Capture equal to or less than the original amount |"", ""An authorization places a hold on the customer's funds without immediately settling the charge. Use this flow when:""]",1.967,1.509,3.476,450,150,600,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00072349,0.7493,0.00129
Q048,semantic,reference/endpoints.md; reference/pagination_filtering.md; guides/subscriptions_guide.md,What filters can I use when listing subscriptions?,"customer_id, status (active, cancelled, past_due, trialing), and plan_id.","You can filter subscriptions by status (active, inactive, canceled), creation date range, or renewal date range. Additionally, you can filter based on specific product IDs or subscription tiers if your system supports those attributes in its API/UI. Refer to the API documentation for the complete list of available filter parameters.","Based on context [1], you can use the following filters when listing subscriptions:

*   `customer_id` (string): Subscriptions for a specific customer
*   `status` (string): `active`, `cancelled`, `past_due`, `trialing`
*   `plan_id` (string): Subscriptions on a specific plan","[""| Filter        | Type   | Description                              |\n|---------------|--------|------------------------------------------|\n| `customer_id` | string | Subscriptions for a specific customer    |\n| `status`      | string | `active`, `cancelled`, `past_due`, `trialing` |\n| `plan_id`     | string | Subscriptions on a specific plan         |"", ""| Filter       | Type   | Description                    |\n|--------------|--------|--------------------------------|\n| `payment_id` | string | Refunds for a specific payment |\n| `from`       | date   | Created on or after this date  |\n| `to`         | date   | Created on or before this date |"", ""| Event | Triggered when |\n|-------|---------------|\n| `subscription.created` | New subscription created |\n| `subscription.trial_ending` | 3 days before trial ends |\n| `subscription.renewed` | Successful renewal charge |\n| `subscription.payment_failed` | Renewal charge failed |\n| `subscription.unpaid` | All retry attempts exhausted |\n| `subscription.cancelled` | Subscription cancelled |"", ""| Parameter    | Type   | Required | Description                                         |\n|--------------|--------|----------|-----------------------------------------------------|\n| customer_id  | string | Yes      | Customer to bill                                    |\n| plan_id      | string | Yes      | Subscription plan ID                                |\n| trial_days   | integer| No       | Free trial period. Max: 90 days                     |\n| billing_cycle| string | No       | `monthly` or `yearly`. Default: `monthly`           |"", ""| Filter         | Type    | Description                                      |\n|----------------|---------|--------------------------------------------------|\n| `status`       | string  | Filter by status: `pending`, `succeeded`, `failed`, `cancelled` |\n| `customer_id`  | string  | Payments for a specific customer                 |\n| `from`         | date    | Created on or after this date (ISO 8601)         |\n| `to`           | date    | Created on or before this date (ISO 8601)        |\n| `currency`     | string  | ISO 4217 currency code                           |\n| `min_amount`   | integer | Minimum amount in cents                          |\n| `max_amount`   | integer | Maximum amount in cents                          |""]",1.414,1.912,3.326,698,137,835,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00069227,0.7493,0.00158
Q049,semantic,reference/pagination_filtering.md; guides/reporting_guide.md,What is the maximum date range for a report summary query?,"365 days. For longer ranges, use the Reports API.","The maximum date range for a report summary query is currently limited to one year due to performance considerations. Exceeding this range may result in significantly slower query execution or errors.  For longer historical analysis, consider aggregating data into monthly or quarterly summaries instead.","The maximum date range for a report summary query is **365 days**. Requests spanning more than 365 days return a `400 invalid_request` error. For multi-year data, multiple requests with non-overlapping date ranges should be made and aggregated in your application. (Sources: [2], [3])","[""The maximum date range for list queries is **365 days**. Requests spanning more than 365 days will return a validation error. For longer ranges, use the Reports API."", ""The maximum date range for a single report request is **365 days**. Requests spanning more than 365 days return a `400 invalid_request` error. For multi-year data, make multiple requests with non-overlapping date ranges and aggregate the results in your application."", ""Report generation is resource-intensive. Long date ranges at daily granularity may take several seconds to process. If you are generating reports programmatically, space out requests and respect the rate limits defined in `docs/reference/rate_limits.md`. Consider scheduling report generation during off-peak hours."", ""```\nGET /reports/summary?start_date=2025-01-01&end_date=2025-12-31&granularity=month\n```"", ""```\nGET /reports/summary?start_date=2025-01-01&end_date=2025-12-31&granularity=month\n```""]",1.191,1.68,2.871,420,122,542,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00059757,0.7493,0.0011248
Q050,semantic,guides/testing_guide.md; guides/integration_quickstart.md; guides/error_handling_guide.md,What does the do_not_honor error mean and what should the customer do?,do_not_honor is a generic decline from the card issuer. The customer should contact their bank directly — NexusPay cannot provide more specific information.,"The ""do_not_honor"" error typically indicates a problem with the customer's payment method or account authorization. Customers should verify their payment details in their account settings and contact their bank or payment provider to ensure there aren't any holds or restrictions in place. If the issue persists, please open a support ticket with detailed transaction information for further investigation.","According to the provided context ([4] & [5]), the `do_not_honor` error means ""Your bank declined this transaction. Please contact your bank or use a different card."" Furthermore, [1] states you should **not** retry `card_declined` errors (which includes `do_not_honor`), as repeated attempts may trigger fraud flags. Instead, prompt the customer to try a different card or contact their bank.","[""**Do not retry `card_declined` errors.** Repeated decline attempts may trigger fraud flags at the issuer and worsen the customer's experience. Instead, prompt the customer to try a different card or contact their bank."", ""If the payment fails, the response includes an `error` object with a `code` field. See `docs/guides/error_handling_guide.md` for how to handle specific error codes."", ""| Card Number | Outcome | Error Code |\n|-------------|---------|------------|\n| `4242 4242 4242 4242` | Payment succeeds | — |\n| `4000 0000 0000 0002` | Card declined | `card_declined` |\n| `4000 0000 0000 9995` | Insufficient funds | `card_declined` / `insufficient_funds` |\n| `4000 0000 0000 0069` | Card expired | `expired_card` |\n| `4000 0000 0000 0127` | Incorrect CVC | `incorrect_cvc` |\n| `4000 0000 0000 0119` | Processing error | `processing_error` |\n| `4000 0000 0000 0044` | Do not honour | `do_not_honor` |"", ""| `decline_code` | Customer-facing message |\n|----------------|------------------------|\n| `insufficient_funds` | \""Your card has insufficient funds. Please try a different card.\"" |\n| `expired_card` | \""Your card has expired. Please update your payment details.\"" |\n| `do_not_honor` | \""Your bank declined this transaction. Please contact your bank or use a different card.\"" |\n| `lost_card` | \""This transaction cannot be processed. Please contact your bank.\"" |\n| `stolen_card` | \""This transaction cannot be processed. Please contact your bank.\"" |"", ""| HTTP Status | Error Code | Reason |\n|-------------|------------|--------|\n| 400 | `invalid_request` | Malformed request — fix the payload |\n| 400 | `amount_too_small` | Below minimum — adjust the amount |\n| 402 | `card_declined` | Issuer declined — prompt customer to use a different card |\n| 402 | `expired_card` | Card expired — customer must update card details |\n| 402 | `insufficient_funds` | Not enough funds — customer must resolve with their bank |\n| 402 | `do_not_honor` | Issuer blocked the transaction — do not retry |\n| 404 | `not_found` | Resource does not exist — check the ID |\n| 409 | `idempotency_key_mismatch` | Key reused with different parameters — use a new key |""]",1.656,2.348,4.004,880,165,1045,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00083339,0.7493,0.001958
