case_id,financebench_id,generator,variant,human_original,human_revised,revised,judge_nemo_12b,judge_claude,judge_gemini,declared_contaminated
29,financebench_id_00941,gemma4,pdfplumber,correct,correct,,correct,correct,correct,
30,financebench_id_01009,gemma3,docling,correct,correct,,correct,correct,correct,
31,financebench_id_02119,qwen32b,reference,correct,correct,,correct,correct,correct,
32,financebench_id_01290,qwen32b,docling,correct,correct,,correct,correct,correct,
33,financebench_id_01964,gemma3,pdfplumber,correct,correct,,correct,correct,correct,
34,financebench_id_00678,qwen32b,pdfplumber,correct,correct,,correct,correct,correct,
35,financebench_id_01198,gemma4,reference,correct,correct,,correct,correct,correct,
36,financebench_id_00735,gemma4,pdfplumber,correct,correct,,unclear,correct,correct,
37,financebench_id_01491,qwen32b,pdfplumber,correct,correct,,correct,correct,correct,
38,financebench_id_00669,qwen32b,reference,correct,correct,,correct,correct,correct,
39,financebench_id_00807,qwen32b,pdftotext,unclear,unclear,,correct,correct,correct,
40,financebench_id_02419,qwen32b,reference,incorrect,unclear,yes,correct,incorrect,unclear,
41,financebench_id_00723,gemma3,docling,correct,correct,,unclear,unclear,correct,yes
42,financebench_id_01930,qwen32b,pdftotext,correct,correct,,correct,correct,correct,
43,financebench_id_00822,qwen32b,pdfplumber,incorrect,incorrect,,correct,incorrect,incorrect,
44,financebench_id_00995,qwen32b,pdfplumber,correct,correct,,correct,correct,correct,
45,financebench_id_00724,qwen32b,reference,correct,correct,,correct,correct,correct,
46,financebench_id_00585,gemma3,reference,correct,incorrect,yes,correct,incorrect,incorrect,
47,financebench_id_00746,gemma4,pdftotext,correct,correct,,correct,correct,correct,
48,financebench_id_01244,qwen32b,pdfplumber,correct,correct,,correct,correct,correct,
49,financebench_id_01474,gemma4,pdfplumber,correct,correct,,correct,correct,correct,
50,financebench_id_02419,gemma4,pdfplumber,incorrect,unclear,yes,unclear,unclear,incorrect,
51,financebench_id_00517,gemma3,docling,correct,correct,,correct,correct,correct,yes
52,financebench_id_01964,qwen32b,reference,correct,correct,,correct,correct,correct,
53,financebench_id_01279,gemma3,reference,correct,correct,,correct,correct,correct,
54,financebench_id_00603,gemma4,reference,correct,correct,,unclear,correct,correct,
55,financebench_id_00720,gemma4,pdfplumber,correct,correct,,correct,correct,correct,
56,financebench_id_00005,gemma3,pdftotext,correct,correct,,correct,correct,correct,
57,financebench_id_01028,gemma4,pdfplumber,correct,correct,,correct,correct,correct,
58,financebench_id_01107,gemma4,pdfplumber,correct,correct,,correct,correct,correct,
59,financebench_id_00540,gemma4,reference,correct,unclear,yes,incorrect,unclear,incorrect,
60,financebench_id_00859,gemma4,pdftotext,correct,correct,,correct,correct,correct,
61,financebench_id_00678,gemma4,docling,incorrect,correct,yes,correct,correct,correct,
62,financebench_id_01911,gemma3,docling,incorrect,incorrect,,incorrect,incorrect,incorrect,
63,financebench_id_01930,gemma3,docling,incorrect,incorrect,,incorrect,incorrect,incorrect,
64,financebench_id_00601,gemma4,reference,correct,unclear,yes,incorrect,incorrect,incorrect,
65,financebench_id_00723,qwen32b,reference,correct,correct,,correct,unclear,correct,
66,financebench_id_00005,qwen32b,docling,correct,correct,,correct,correct,correct,
67,financebench_id_00839,qwen32b,reference,correct,correct,,correct,correct,correct,
68,financebench_id_00995,gemma4,reference,correct,correct,,correct,correct,correct,
69,financebench_id_00705,gemma4,pdfplumber,correct,correct,,correct,correct,correct,
70,financebench_id_00299,gemma4,pdfplumber,correct,incorrect,yes,incorrect,incorrect,incorrect,
71,financebench_id_00839,gemma3,docling,correct,correct,,correct,correct,correct,
72,financebench_id_00941,gemma3,reference,correct,correct,,correct,correct,correct,
73,financebench_id_01077,gemma3,pdftotext,correct,correct,,correct,correct,correct,
74,financebench_id_01254,gemma4,pdfplumber,correct,correct,,correct,correct,correct,
75,financebench_id_01474,qwen32b,docling,correct,correct,,correct,correct,correct,
76,financebench_id_00460,qwen32b,pdftotext,correct,correct,,correct,correct,correct,
77,financebench_id_00606,gemma3,reference,incorrect,correct,yes,correct,correct,correct,
78,financebench_id_00302,gemma3,docling,correct,correct,,correct,correct,correct,
79,financebench_id_00684,qwen32b,docling,correct,correct,,correct,correct,correct,
80,financebench_id_00859,gemma3,docling,correct,correct,,correct,correct,correct,
81,financebench_id_02119,gemma3,pdfplumber,correct,correct,,correct,correct,correct,
82,financebench_id_02119,gemma4,pdftotext,correct,correct,,correct,correct,correct,
83,financebench_id_01484,gemma4,pdfplumber,correct,correct,,correct,correct,correct,
84,financebench_id_01930,gemma4,pdftotext,correct,correct,,correct,correct,correct,
85,financebench_id_01865,gemma3,pdfplumber,correct,incorrect,yes,incorrect,incorrect,incorrect,
86,financebench_id_00724,gemma3,pdfplumber,correct,incorrect,yes,incorrect,incorrect,incorrect,
87,financebench_id_00746,qwen32b,pdftotext,correct,correct,,correct,correct,correct,
88,financebench_id_00540,gemma3,docling,incorrect,incorrect,,correct,incorrect,incorrect,
89,financebench_id_00941,qwen32b,pdftotext,correct,correct,,correct,correct,correct,
90,financebench_id_00685,gemma4,docling,correct,correct,,correct,correct,correct,
91,financebench_id_00822,gemma4,pdftotext,correct,correct,,correct,correct,correct,
92,financebench_id_00394,gemma3,pdftotext,correct,correct,,correct,correct,correct,
93,financebench_id_00746,gemma3,pdfplumber,correct,correct,,correct,correct,correct,
94,financebench_id_02416,gemma4,pdftotext,correct,correct,,correct,correct,correct,
95,financebench_id_01476,gemma4,pdftotext,correct,correct,,correct,correct,correct,
96,financebench_id_01009,gemma4,reference,correct,correct,,correct,correct,correct,
97,financebench_id_00735,gemma3,reference,correct,correct,,correct,correct,correct,
98,financebench_id_01279,qwen32b,reference,correct,correct,,correct,correct,correct,
99,financebench_id_01964,gemma4,pdftotext,correct,correct,,correct,correct,correct,
100,financebench_id_00702,gemma4,docling,correct,correct,,correct,correct,correct,
101,financebench_id_00799,gemma4,reference,incorrect,correct,yes,incorrect,correct,correct,
102,financebench_id_01911,gemma4,reference,incorrect,unclear,yes,correct,unclear,incorrect,
103,financebench_id_00723,gemma4,pdfplumber,unclear,unclear,,unclear,unclear,correct,
104,financebench_id_01244,gemma4,reference,correct,correct,,correct,correct,correct,
105,financebench_id_01328,qwen32b,pdftotext,correct,correct,,correct,correct,correct,
106,financebench_id_01351,gemma3,pdftotext,correct,correct,,correct,correct,correct,
107,financebench_id_01148,gemma3,docling,correct,correct,,correct,correct,correct,
108,financebench_id_00566,gemma3,pdftotext,correct,correct,,correct,correct,correct,
109,financebench_id_01981,qwen32b,reference,correct,correct,,correct,correct,correct,
110,financebench_id_01226,gemma3,docling,correct,correct,,correct,correct,correct,
111,financebench_id_00705,qwen32b,pdftotext,correct,correct,,correct,correct,correct,
112,financebench_id_00563,gemma4,pdfplumber,correct,correct,,correct,correct,correct,
113,financebench_id_00724,gemma4,pdftotext,correct,correct,,correct,correct,correct,
114,financebench_id_00302,gemma4,pdfplumber,correct,correct,,correct,correct,correct,
115,financebench_id_00790,qwen32b,reference,correct,correct,,correct,correct,correct,
116,financebench_id_00563,gemma3,docling,correct,correct,,correct,correct,correct,
117,financebench_id_00215,qwen32b,reference,correct,correct,,correct,correct,correct,
118,financebench_id_01474,gemma3,docling,correct,correct,,correct,correct,correct,
119,financebench_id_00790,gemma4,pdftotext,correct,unclear,yes,incorrect,unclear,correct,
120,financebench_id_01865,qwen32b,pdftotext,unclear,incorrect,yes,incorrect,incorrect,incorrect,
121,financebench_id_00476,gemma3,reference,correct,correct,,correct,correct,correct,
122,financebench_id_01487,gemma3,pdftotext,correct,correct,,correct,correct,correct,
123,financebench_id_01091,gemma3,reference,correct,correct,,correct,correct,correct,
124,financebench_id_01079,qwen32b,pdftotext,correct,correct,,correct,correct,correct,
125,financebench_id_00540,qwen32b,docling,incorrect,unclear,yes,unclear,unclear,incorrect,
126,financebench_id_00566,gemma4,pdftotext,correct,correct,,correct,correct,correct,
127,financebench_id_02049,gemma3,pdftotext,correct,correct,,correct,correct,correct,
128,financebench_id_00476,qwen32b,pdftotext,correct,correct,,correct,unclear,correct,
129,financebench_id_01902,gemma4,pdfplumber,correct,correct,,correct,correct,correct,
130,financebench_id_01487,gemma4,reference,correct,correct,,correct,correct,correct,
131,financebench_id_00711,gemma4,reference,correct,correct,,correct,correct,correct,
132,financebench_id_01254,gemma3,reference,correct,correct,,correct,correct,correct,
133,financebench_id_00705,gemma3,pdfplumber,correct,correct,,correct,correct,correct,
134,financebench_id_02416,qwen32b,reference,correct,correct,,correct,correct,correct,
135,financebench_id_00299,qwen32b,reference,correct,correct,,correct,correct,correct,
136,financebench_id_01077,gemma4,docling,correct,correct,,correct,correct,correct,
137,financebench_id_00735,qwen32b,reference,correct,correct,,correct,correct,correct,
138,financebench_id_01911,qwen32b,reference,incorrect,incorrect,,incorrect,incorrect,incorrect,
139,financebench_id_00299,gemma3,docling,correct,correct,,correct,correct,correct,
140,financebench_id_01928,gemma3,reference,correct,correct,,correct,correct,correct,
141,financebench_id_00302,qwen32b,docling,correct,correct,,correct,correct,correct,
142,financebench_id_00215,gemma4,pdfplumber,correct,correct,,unclear,correct,correct,
143,financebench_id_00552,gemma3,pdfplumber,incorrect,incorrect,,incorrect,incorrect,incorrect,
144,financebench_id_01928,gemma4,docling,correct,correct,,correct,correct,correct,
145,financebench_id_00720,gemma3,pdftotext,correct,correct,,correct,correct,correct,
146,financebench_id_02416,gemma3,docling,correct,correct,,correct,correct,correct,
147,financebench_id_00563,qwen32b,pdfplumber,correct,correct,,correct,correct,correct,
148,financebench_id_00517,gemma4,docling,correct,correct,,correct,correct,correct,
149,financebench_id_01028,gemma3,reference,correct,correct,,incorrect,correct,correct,
