user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,llm_context_precision_with_reference,context_recall
What is the maximum trial period for a subscription?,"['The maximum trial period is **90 days**. After the trial ends, the subscription transitions to `active` and the first charge is attempted.', '| Parameter    | Type   | Required | Description                                         |\n|--------------|--------|----------|-----------------------------------------------------|\n| customer_id  | string | Yes      | Customer to bill                                    |\n| plan_id      | string | Yes      | Subscription plan ID                                |\n| trial_days   | integer| No       | Free trial period. Max: 90 days                     |\n| billing_cycle| string | No       | `monthly` or `yearly`. Default: `monthly`           |', '| Code                          | Description                                        |\n|-------------------------------|----------------------------------------------------|\n| `plan_not_found`              | Subscription plan does not exist                   |\n| `trial_too_long`              | Trial period exceeds maximum of 90 days            |\n| `subscription_already_cancelled` | Subscription is already cancelled              |\n| `customer_has_no_payment_method` | Customer has no payment method on file         |', 'Attach the customer to a plan to start a subscription. Optionally include a trial period.', '{\n  ""customer_id"": ""cus_01HXYZ3333333333"",\n  ""plan_id"": ""plan_01HXYZ2222222222"",\n  ""trial_period_days"": 14,\n  ""metadata"": {\n    ""signup_source"": ""web""\n  }\n}\n```']",The maximum trial period for a subscription is 90 days.,90 days,1.0,1.0,0.9999999999666667,1.0
What HTTP status code does the API return when the rate limit is exceeded?,"['When the limit is exceeded, the API returns HTTP 429 with:', 'When you exceed the API rate limit, NexusPay returns HTTP `429` with a `retry_after` field indicating how many seconds to wait before retrying:', '{\n  ""error"": {\n    ""code"": ""rate_limit_exceeded"",\n    ""message"": ""Rate limit exceeded. Retry after 4 seconds."",\n    ""retry_after"": 4\n  }\n}\n```', '| Code                  | Description                                              |\n|-----------------------|----------------------------------------------------------|\n| `rate_limit_exceeded` | Too many requests. Check `retry_after` in response body  |\n| `ip_limit_exceeded`   | IP-level limit of 5,000 req/min exceeded                 |', '| HTTP Status | Error Code | Notes |\n|-------------|------------|-------|\n| 429 | `rate_limit_exceeded` | Respect the `retry_after` header |\n| 500 | `internal_server_error` | NexusPay server error — safe to retry |\n| 502 | `bad_gateway` | Upstream infrastructure error |\n| 503 | `service_unavailable` | Temporary unavailability — retry with backoff |\n| 504 | `gateway_timeout` | Request timed out upstream |']","When the rate limit is exceeded, the API returns HTTP 429.",HTTP 429,1.0,1.0,0.94999999997625,1.0
What error code is returned when an API key has been revoked?,"['| Code                  | Description                                              |\n|-----------------------|----------------------------------------------------------|\n| `invalid_api_key`     | The API key provided is not valid                        |\n| `expired_api_key`     | The API key has expired                                  |\n| `missing_api_key`     | No API key was provided in the request                   |\n| `revoked_api_key`     | The API key has been revoked                             |', 'Revoking a key is immediate and irreversible. In-flight requests using a revoked key will fail with `revoked_api_key`.', 'If you submit an idempotency key that matches a previous request but with different parameters, the API returns HTTP 409 with error code `idempotency_key_mismatch`.', 'The API uses URL versioning. The current version is **v2**. Version v1 was deprecated on **2025-07-01** and will be sunset on **2026-01-15**. After the sunset date, v1 requests will return HTTP 410.', '- [ ] **All error codes handled**: Your application handles every error code in `docs/reference/error_codes.md` gracefully — no unhandled exceptions that surface raw API errors to end users.\n- [ ] **Non-retryable errors not retried**: `card_declined`, `expired_card`, `do_not_honor`, and similar codes do not trigger automatic retries. The customer is prompted to resolve the issue instead.\n- [ ] **Retryable errors use backoff**: `service_unavailable`, `gateway_timeout`, and `internal_server_error` responses trigger retries with exponential backoff. See `docs/guides/error_handling_guide.md`.\n- [ ] **Rate limit errors handled**: HTTP 429 responses read the `retry_after` value and wait the specified duration before retrying.']",The error code returned when an API key has been revoked is `revoked_api_key`.,revoked_api_key,1.0,0.99820460821137,0.99999999995,1.0
What error code is returned when a refund exceeds the 180-day window?,"['```json\n{\n  ""error"": {\n    ""code"": ""refund_window_expired"",\n    ""message"": ""Refunds must be issued within 180 days of the original payment.""\n  }\n}\n```', 'Returned when the refund is attempted more than **180 days** after the original payment:', '| Code                        | Description                                          |\n|-----------------------------|------------------------------------------------------|\n| `refund_window_expired`     | 180-day refund window has passed                     |\n| `max_refunds_exceeded`      | Maximum 5 refunds per payment already reached        |\n| `refund_amount_exceeds_payment` | Refund amount exceeds original payment          |\n| `partial_refund_too_small`  | Partial refund below minimum of 50 cents             |\n| `payment_not_refundable`    | Payment is not in a refundable state                 |', '- [ ] **Refund constraints communicated to operations team**: Customer-facing support staff understand the 180-day refund window and 5-refund-per-payment limit.\n- [ ] **Authorization captures scheduled**: If using auth-only payments, a mechanism is in place to capture within the **7-day** window. Expired authorizations cannot be recovered.', ""| Constraint | Value |\n|------------|-------|\n| Maximum refund window | **180 days** from the original payment |\n| Maximum refunds per payment | **5** |\n| Minimum partial refund amount | **50 cents** (in the payment's currency) |""]",The error code returned when a refund exceeds the 180-day window is `refund_window_expired`.,refund_window_expired,1.0,0.9972976817702769,0.9999999999666667,1.0
What is the current API version?,"['The API uses URL versioning. The current version is **v2**. Version v1 was deprecated on **2025-07-01** and will be sunset on **2026-01-15**. After the sunset date, v1 requests will return HTTP 410.', '**Base URL:** `https://api.nexuspay.io/v2`  \n**Current API version:** v2 (released 2025-01-15)  \n**Previous version:** v1 (deprecated 2025-07-01, sunset 2026-01-15)', '- [ ] **Target API v2**: Confirm all requests include the `NexusPay-Version: 2025-01-15` header or use the v2 base URL. The v1 API is deprecated as of 2025-07-01 and sunsets on 2026-01-15. Requests to v1 after sunset return HTTP `410 Gone`. See `docs/guides/api_versioning.md`.', '{\n  ""error"": {\n    ""code"": ""api_version_sunset"",\n    ""message"": ""API v1 has been sunset as of 2026-01-15. Please migrate to v2. See https://docs.nexuspay.eu/guides/api_versioning""\n  }\n}\n```', '| Version | Status | Release Date | Notes |\n|---------|--------|--------------|-------|\n| **v2** | Current | **2025-01-15** | Active, fully supported |\n| v1 | Deprecated | — | Deprecated **2025-07-01** |']",The current API version is v2.,"v2, released on 2025-01-15",1.0,1.0,0.5888888888692593,1.0
When will API v1 be sunset?,"['The API uses URL versioning. The current version is **v2**. Version v1 was deprecated on **2025-07-01** and will be sunset on **2026-01-15**. After the sunset date, v1 requests will return HTTP 410.', '{\n  ""error"": {\n    ""code"": ""api_version_sunset"",\n    ""message"": ""API v1 has been sunset as of 2026-01-15. Please migrate to v2. See https://docs.nexuspay.eu/guides/api_versioning""\n  }\n}\n```', '- [ ] **Target API v2**: Confirm all requests include the `NexusPay-Version: 2025-01-15` header or use the v2 base URL. The v1 API is deprecated as of 2025-07-01 and sunsets on 2026-01-15. Requests to v1 after sunset return HTTP `410 Gone`. See `docs/guides/api_versioning.md`.', 'As of **2026-01-15**, v1 is sunset. Any request to a v1 endpoint returns:', 'After the sunset date, there is no way to make v1 requests succeed — migration to v2 is mandatory.']",API v1 will be sunset on 2026-01-15.,2026-01-15,1.0,0.9999999999999998,0.999999999975,1.0
What is the maximum page size when listing payments?,"['Pass `starting_after=pay_abc123` to get the next page. Default page size: 10. Maximum: 100.', '### GET /payments\nList payments. Supports pagination via `limit` (max 100, default 10) and `starting_after`.', 'For bulk data exports, use the maximum page size to minimize the number of requests and stay within rate limits.', '| Field | Purpose | Constraints | Visibility |\n|-------|---------|-------------|------------|\n| `metadata` | Machine-readable key-value pairs for internal use | 50 keys, 40-char keys | Not shown to customers |\n| `description` | Human-readable summary of the payment | Max **255 characters**, single string | May appear on bank statements |', 'while True:\n        page = nexuspay.payments.list(\n            limit=100,\n            cursor=cursor,\n            **filters\n        )\n        all_payments.extend(page.data)']","The maximum page size when listing payments is 100 [1, 2].",100 items per page,0.5,0.99999905755868,0.99999999995,1.0
How many times does NexusPay retry a failed webhook delivery?,"['When a subscription renewal charge fails, NexusPay fires the `subscription.payment_failed` webhook:', 'Your endpoint must return an HTTP `200` status code to acknowledge successful receipt. Any other status code (including `201`, `202`, `4xx`, or `5xx`) causes NexusPay to treat the delivery as failed and schedule a retry.', 'When an event occurs, NexusPay sends an HTTP POST request to the URL you have configured in the Dashboard or via the Webhooks API. Your endpoint must respond with an HTTP `200` status code within 10 seconds to acknowledge delivery. If it does not, NexusPay retries delivery up to **5 times** using an exponential backoff schedule: 1 minute, 5 minutes, 30 minutes, 2 hours, and 8 hours after the initial attempt.', 'When you exceed the API rate limit, NexusPay returns HTTP `429` with a `retry_after` field indicating how many seconds to wait before retrying:', 'Your webhook endpoint receives signed HTTP POST requests from NexusPay. Without proper security:']",NexusPay retries delivery up to 5 times.,"Up to 5 times with exponential backoff: 1min, 5min, 30min, 2h, 8h",1.0,0.9057674030985958,0.3333333333,1.0
What is the IP-level rate limit regardless of plan?,"['Regardless of plan, a single IP address is limited to 5,000 requests/minute across all API keys. This limit cannot be increased.', '| Code                  | Description                                              |\n|-----------------------|----------------------------------------------------------|\n| `rate_limit_exceeded` | Too many requests. Check `retry_after` in response body  |\n| `ip_limit_exceeded`   | IP-level limit of 5,000 req/min exceeded                 |', '| Plan       | Requests/min | Requests/day | Concurrent connections | Webhook endpoints |\n|------------|-------------|--------------|----------------------|-------------------|\n| Free       | 60          | 1,000        | 5                    | 2                 |\n| Starter    | 300         | 10,000       | 20                   | 10                |\n| Pro        | 1,000       | 100,000      | 50                   | 50                |\n| Enterprise | 10,000      | Unlimited    | 500                  | Unlimited         |', 'NexusPay API enforces rate limits per API key, per plan. Limits reset every 60 seconds (rolling window).', 'Each plan has a burst allowance of 2× the per-minute limit for up to 10 seconds. After the burst window, the standard limit applies.']","Regardless of plan, a single IP address is limited to 5,000 requests/minute across all API keys.","5,000 requests per minute per IP address",1.0,0.6994470789226939,0.99999999995,1.0
How long do idempotency keys remain valid?,"['Idempotency keys expire **24 hours** after they are first used. After expiry, the same key can be submitted again and will be treated as a new request. This means you should generate a fresh key for each distinct operation intent — do not reuse keys across sessions or days.', '- [ ] **Idempotency keys on all mutations**: Every `POST /payments`, `POST /payments/:id/capture`, and `POST /payments/:id/refunds` request includes a unique `Idempotency-Key` header (UUID v4, max 64 characters). See `docs/guides/idempotency_guide.md`.\n- [ ] **Keys generated before requests**: Idempotency keys are generated and persisted in your database *before* the API call is made, ensuring they survive process crashes.\n- [ ] **Same key on retries**: When retrying a failed request, your code reuses the original idempotency key — it does not generate a new one.', 'Idempotency keys are strings up to 64 characters. They are scoped to your API key — the same idempotency key used with different API keys creates different operations.', 'Idempotency keys and retry logic work together. Always:', 'Idempotency keys are scoped to your **API key**. The same key used with your test (`sk_test_...`) and live (`sk_live_...`) secret keys are completely independent — switching to live keys does not risk replaying test-mode idempotency records.']",Idempotency keys expire 24 hours after they are first used.,24 hours,1.0,0.9341193765520125,0.9999999999,1.0
What is the maximum description length for a payment?,"['| Field | Purpose | Constraints | Visibility |\n|-------|---------|-------------|------------|\n| `metadata` | Machine-readable key-value pairs for internal use | 50 keys, 40-char keys | Not shown to customers |\n| `description` | Human-readable summary of the payment | Max **255 characters**, single string | May appear on bank statements |', '| Parameter     | Type    | Required | Description                                      |\n|---------------|---------|----------|--------------------------------------------------|\n| amount        | integer | Yes      | Amount in cents (e.g. 1000 = €10.00)            |\n| currency      | string  | Yes      | ISO 4217 code. Supported: EUR, USD, GBP, CHF, SEK, NOK, DKK |\n| source        | string  | Yes      | Payment method token or card ID                  |\n| description   | string  | No       | Max 255 characters                               |\n| metadata      | object  | No       | Max 50 key-value pairs, keys max 40 chars        |\n| capture       | boolean | No       | Default: true. Set false for auth-only           |\n| idempotency_key | string | No     | Max 64 characters. Ensures deduplication         |', '| Parameter | Type   | Required | Description         |\n|-----------|--------|----------|---------------------|\n| email     | string | Yes      | Must be unique      |\n| name      | string | No       | Max 200 characters  |\n| metadata  | object | No       | Max 50 key-value pairs |', '| Property | Value |\n|----------|-------|\n| Maximum length | **64 characters** |\n| Expiration | **24 hours** after first use |\n| Scope | Per API key (same key on a different API key is independent) |', '| Parameter | Type     | Required | Description                        |\n|-----------|----------|----------|------------------------------------|\n| url       | string   | Yes      | HTTPS only. Max 2048 characters    |\n| events    | string[] | Yes      | List of event types to subscribe   |\n| secret    | string   | No       | Auto-generated if not provided     |']",The maximum description length for a payment is 255 characters.,255 characters,1.0,0.9999999999999999,0.99999999995,1.0
How many concurrent connections does the Pro plan support?,"['| Plan       | Requests/min | Requests/day | Concurrent connections | Webhook endpoints |\n|------------|-------------|--------------|----------------------|-------------------|\n| Free       | 60          | 1,000        | 5                    | 2                 |\n| Starter    | 300         | 10,000       | 20                   | 10                |\n| Pro        | 1,000       | 100,000      | 50                   | 50                |\n| Enterprise | 10,000      | Unlimited    | 500                  | Unlimited         |', '{\n  ""name"": ""Pro Monthly"",\n  ""amount"": 2900,\n  ""currency"": ""EUR"",\n  ""interval"": ""month"",\n  ""interval_count"": 1,\n  ""description"": ""NexusApp Pro plan — billed monthly""\n}\n```', '**Response:**\n```json\n{\n  ""id"": ""plan_01HXYZ2222222222"",\n  ""name"": ""Pro Monthly"",\n  ""amount"": 2900,\n  ""currency"": ""EUR"",\n  ""interval"": ""month"",\n  ""interval_count"": 1,\n  ""created_at"": ""2025-06-01T00:00:00Z""\n}\n```', '**Caution:** Parallel requests multiply your rate limit consumption proportionally. With 7 concurrent currency paginations, each page of results is 7 requests counted against your quota simultaneously. Monitor `X-RateLimit-Remaining` carefully or limit concurrency.', 'Regardless of plan, a single IP address is limited to 5,000 requests/minute across all API keys. This limit cannot be increased.']",The Pro plan supports 50 concurrent connections.,50 concurrent connections,1.0,0.9999999999999998,0.9999999999,1.0
What HTTP status code is returned when a resource is not found?,"['| HTTP Status | Meaning                                      |\n|-------------|----------------------------------------------|\n| 200         | Success                                      |\n| 201         | Resource created                             |\n| 400         | Bad request — invalid parameters             |\n| 401         | Unauthorized — invalid or missing API key    |\n| 403         | Forbidden — insufficient permissions         |\n| 404         | Resource not found                           |\n| 409         | Conflict — duplicate idempotency key         |\n| 422         | Unprocessable — business logic error         |\n| 429         | Rate limit exceeded                          |\n| 500         | Internal server error                        |\n| 503         | Service temporarily unavailable              |', 'When the limit is exceeded, the API returns HTTP 429 with:', 'Your endpoint must return an HTTP `200` status code to acknowledge successful receipt. Any other status code (including `201`, `202`, `4xx`, or `5xx`) causes NexusPay to treat the delivery as failed and schedule a retry.', '| HTTP Status | Error Code | Notes |\n|-------------|------------|-------|\n| 429 | `rate_limit_exceeded` | Respect the `retry_after` header |\n| 500 | `internal_server_error` | NexusPay server error — safe to retry |\n| 502 | `bad_gateway` | Upstream infrastructure error |\n| 503 | `service_unavailable` | Temporary unavailability — retry with backoff |\n| 504 | `gateway_timeout` | Request timed out upstream |', '| HTTP Status | Error Code | Reason |\n|-------------|------------|--------|\n| 400 | `invalid_request` | Malformed request — fix the payload |\n| 400 | `amount_too_small` | Below minimum — adjust the amount |\n| 402 | `card_declined` | Issuer declined — prompt customer to use a different card |\n| 402 | `expired_card` | Card expired — customer must update card details |\n| 402 | `insufficient_funds` | Not enough funds — customer must resolve with their bank |\n| 402 | `do_not_honor` | Issuer blocked the transaction — do not retry |\n| 404 | `not_found` | Resource does not exist — check the ID |\n| 409 | `idempotency_key_mismatch` | Key reused with different parameters — use a new key |']",HTTP status code 404 is returned when a resource is not found.,HTTP 404,1.0,0.9999987729665629,0.699999999965,1.0
What is the maximum URL length for a webhook endpoint?,"['Webhook endpoint URLs have a maximum length of **2048 characters**. Register your endpoint in the Dashboard under **Developers → Webhooks**, or via the API:', '- [ ] **HTTPS endpoint only**: Your production webhook URL must use HTTPS. HTTP endpoints are rejected. The URL must not exceed **2048 characters**.\n- [ ] **Signature verification implemented**: Every incoming webhook must have its HMAC-SHA256 signature verified before being processed. See `docs/guides/webhooks_guide.md`.\n- [ ] **Timestamp validation active**: Reject webhook events with an `X-NexusPay-Timestamp` more than 5 minutes old to prevent replay attacks.\n- [ ] **Live webhook secret configured**: The sandbox and production webhook secrets are different. Reconfigure your application to use the live webhook secret retrieved from the Dashboard.\n- [ ] **Idempotent webhook handlers**: Your handlers correctly deduplicate events by persisting processed event IDs.', '| Plan       | Requests/min | Requests/day | Concurrent connections | Webhook endpoints |\n|------------|-------------|--------------|----------------------|-------------------|\n| Free       | 60          | 1,000        | 5                    | 2                 |\n| Starter    | 300         | 10,000       | 20                   | 10                |\n| Pro        | 1,000       | 100,000      | 50                   | 50                |\n| Enterprise | 10,000      | Unlimited    | 500                  | Unlimited         |', '| Parameter | Type     | Required | Description                        |\n|-----------|----------|----------|------------------------------------|\n| url       | string   | Yes      | HTTPS only. Max 2048 characters    |\n| events    | string[] | Yes      | List of event types to subscribe   |\n| secret    | string   | No       | Auto-generated if not provided     |', 'Two headers are included with every webhook request:']",The maximum length for a webhook endpoint URL is 2048 characters.,2048 characters,1.0,0.9936801380906134,0.9166666666361111,1.0
